2013/09/14 11:08:46 - Connecting to AWS region us-west-2.
2013/09/14 11:08:47 - Calculating new unique cluster name for request 686.
2013/09/14 11:08:47 - Creating new cluster name, Hpcc-3RUH.
2013/09/14 11:08:47 - Creating Hpcc-3RUH security group.
2013/09/14 11:08:51 - Creating Hpcc-3RUH key pair.
2013/09/14 11:08:53 - Launching 17 m1.large nodes using ami-4dc7577d.
2013/09/14 11:08:54 - Reservation ID r-3848790c created.
2013/09/14 11:08:54 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:04 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:12 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:21 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:29 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:37 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:46 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:55 - Waiting for 16 of 17 nodes to launch.
2013/09/14 11:10:06 - Waiting for 13 of 17 nodes to launch.
2013/09/14 11:10:14 - Waiting for 5 of 17 nodes to launch.
2013/09/14 11:10:21 - Pending instances have completed.
2013/09/14 11:10:21 - Checking each node launched properly.
2013/09/14 11:10:21 - 54.200.44.246:   Checking EC2 instance i-9af54eae.
2013/09/14 11:10:21 - 54.200.50.32:    Checking EC2 instance i-84f54eb0.
2013/09/14 11:10:21 - 54.200.50.30:    Checking EC2 instance i-85f54eb1.
2013/09/14 11:10:21 - 54.200.49.251:   Checking EC2 instance i-86f54eb2.
2013/09/14 11:10:21 - 54.200.50.42:    Checking EC2 instance i-87f54eb3.
2013/09/14 11:10:21 - 54.200.50.29:    Checking EC2 instance i-80f54eb4.
2013/09/14 11:10:21 - 54.200.50.35:    Checking EC2 instance i-81f54eb5.
2013/09/14 11:10:21 - 54.200.50.31:    Checking EC2 instance i-82f54eb6.
2013/09/14 11:10:21 - 54.200.50.36:    Checking EC2 instance i-83f54eb7.
2013/09/14 11:10:21 - 54.200.50.38:    Checking EC2 instance i-8cf54eb8.
2013/09/14 11:10:21 - 54.200.50.37:    Checking EC2 instance i-8df54eb9.
2013/09/14 11:10:21 - 54.200.50.34:    Checking EC2 instance i-8ef54eba.
2013/09/14 11:10:21 - 54.200.50.41:    Checking EC2 instance i-8ff54ebb.
2013/09/14 11:10:21 - 54.200.50.39:    Checking EC2 instance i-88f54ebc.
2013/09/14 11:10:21 - 54.200.50.40:    Checking EC2 instance i-89f54ebd.
2013/09/14 11:10:22 - 54.200.50.33:    Checking EC2 instance i-8af54ebe.
2013/09/14 11:10:22 - 54.200.45.217:   Checking EC2 instance i-8bf54ebf.
2013/09/14 11:10:22 - 54.200.44.246:   Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.44.246:   Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.36:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.36:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.35:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.35:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.31:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.31:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.34:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.34:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.30:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.30:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.42:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.42:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.38:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.38:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.31:    Waiting on SSH connection.
2013/09/14 11:10:22 - 54.200.50.41:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.41:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.32:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.32:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.49.251:   Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.49.251:   Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.40:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.40:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.37:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.37:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.29:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.29:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.33:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.33:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.45.217:   Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.45.217:   Connecting via SSH.
2013/09/14 11:10:22 - 54.200.50.39:    Checking EC2 instance is running.
2013/09/14 11:10:22 - 54.200.50.39:    Connecting via SSH.
2013/09/14 11:10:22 - 54.200.45.217:   Waiting on SSH connection.
2013/09/14 11:10:25 - 54.200.50.35:    Waiting on SSH connection.
2013/09/14 11:10:25 - 54.200.50.40:    Checking software installation completed.
2013/09/14 11:10:25 - 54.200.50.40:    Waiting for software to install.
2013/09/14 11:10:29 - 54.200.50.34:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.44.246:   Checking software installation completed.
2013/09/14 11:10:29 - 54.200.49.251:   Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.37:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.38:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.32:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.42:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.34:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.34:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.41:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.37:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.37:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.44.246:   Software installation finished.
2013/09/14 11:10:29 - 54.200.44.246:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.38:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.38:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.49.251:   Software installation finished.
2013/09/14 11:10:29 - 54.200.49.251:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.39:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.36:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.32:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.32:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.30:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.33:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.29:    Checking software installation completed.
2013/09/14 11:10:29 - 54.200.50.36:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.36:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.39:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.39:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.41:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.41:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.42:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.42:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.30:    Software installation finished.
2013/09/14 11:10:29 - 54.200.50.30:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:29 - 54.200.50.34:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.38:    Checking file contents.
2013/09/14 11:10:30 - 54.200.44.246:   Checking file contents.
2013/09/14 11:10:30 - 54.200.50.37:    Checking file contents.
2013/09/14 11:10:30 - 54.200.49.251:   Checking file contents.
2013/09/14 11:10:30 - 54.200.50.32:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.34:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.29:    Software installation finished.
2013/09/14 11:10:30 - 54.200.50.29:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:30 - 54.200.44.246:   Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.33:    Software installation finished.
2013/09/14 11:10:30 - 54.200.50.33:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:30 - 54.200.50.37:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.49.251:   Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.38:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.36:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.32:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.30:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.42:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.39:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.41:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.30:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.42:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.36:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.39:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.41:    Remote file contents confirmed.
2013/09/14 11:10:30 - 54.200.50.29:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.33:    Checking file contents.
2013/09/14 11:10:30 - 54.200.50.34:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:30 - 54.200.50.34:    Completed check of node 54.200.50.34.
2013/09/14 11:10:31 - 54.200.44.246:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.44.246:   Completed check of node 54.200.44.246.
2013/09/14 11:10:31 - 54.200.50.38:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.49.251:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.32:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.32:    Completed check of node 54.200.50.32.
2013/09/14 11:10:31 - 54.200.50.37:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.29:    Remote file contents confirmed.
2013/09/14 11:10:31 - 54.200.50.38:    Completed check of node 54.200.50.38.
2013/09/14 11:10:31 - 54.200.49.251:   Completed check of node 54.200.49.251.
2013/09/14 11:10:31 - 54.200.50.37:    Completed check of node 54.200.50.37.
2013/09/14 11:10:31 - 54.200.50.33:    Remote file contents confirmed.
2013/09/14 11:10:31 - 54.200.50.30:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.30:    Completed check of node 54.200.50.30.
2013/09/14 11:10:31 - 54.200.50.42:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.42:    Completed check of node 54.200.50.42.
2013/09/14 11:10:31 - 54.200.50.36:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.36:    Completed check of node 54.200.50.36.
2013/09/14 11:10:31 - 54.200.50.39:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.39:    Completed check of node 54.200.50.39.
2013/09/14 11:10:31 - 54.200.50.41:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.41:    Completed check of node 54.200.50.41.
2013/09/14 11:10:31 - 54.200.50.29:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.29:    Completed check of node 54.200.50.29.
2013/09/14 11:10:31 - 54.200.50.33:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:31 - 54.200.50.33:    Completed check of node 54.200.50.33.
