2015/11/09 11:48:23 - Connecting to AWS region us-west-2.
2015/11/09 11:48:23 - Calculating new unique cluster name for request 1170.
2015/11/09 11:48:23 - Creating new cluster name, Hpcc-VUHX.
2015/11/09 11:48:23 - Creating Hpcc-VUHX security group.
2015/11/09 11:48:26 - Creating Hpcc-VUHX key pair.
2015/11/09 11:48:26 - Launching 14 m1.large nodes using ami-de1700bf.
2015/11/09 11:48:27 - Reservation ID r-380701cf created.
2015/11/09 11:48:27 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:35 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:43 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:51 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:58 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:05 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:12 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:19 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:26 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:33 - Waiting for 12 of 14 nodes to launch.
2015/11/09 11:49:41 - Waiting for 4 of 14 nodes to launch.
2015/11/09 11:49:47 - Waiting for 1 of 14 nodes to launch.
2015/11/09 11:49:52 - Pending instances have completed.
2015/11/09 11:49:52 - Checking each node launched properly.
2015/11/09 11:49:52 - 52.33.127.177:   Checking EC2 instance i-ccc85f08.
2015/11/09 11:49:52 - 52.33.165.36:    Checking EC2 instance i-c8c85f0c.
2015/11/09 11:49:52 - 52.33.177.76:    Checking EC2 instance i-c9c85f0d.
2015/11/09 11:49:52 - 52.33.157.172:   Checking EC2 instance i-cac85f0e.
2015/11/09 11:49:52 - 52.33.155.98:    Checking EC2 instance i-cbc85f0f.
2015/11/09 11:49:52 - 52.33.159.255:   Checking EC2 instance i-d4c85f10.
2015/11/09 11:49:52 - 52.26.213.247:   Checking EC2 instance i-d5c85f11.
2015/11/09 11:49:52 - 52.24.88.35:     Checking EC2 instance i-d6c85f12.
2015/11/09 11:49:52 - 52.33.144.1:     Checking EC2 instance i-d7c85f13.
2015/11/09 11:49:53 - 52.33.174.173:   Checking EC2 instance i-d0c85f14.
2015/11/09 11:49:53 - 52.33.152.89:    Checking EC2 instance i-d1c85f15.
2015/11/09 11:49:53 - 52.33.187.122:   Checking EC2 instance i-d2c85f16.
2015/11/09 11:49:53 - 52.33.177.248:   Checking EC2 instance i-d3c85f17.
2015/11/09 11:49:53 - 52.33.167.87:    Checking EC2 instance i-dec85f1a.
2015/11/09 11:49:53 - 52.33.127.177:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.127.177:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.167.87:    Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.167.87:    Connecting via SSH.
2015/11/09 11:49:53 - 52.24.88.35:     Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.24.88.35:     Connecting via SSH.
2015/11/09 11:49:53 - 52.33.177.76:    Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.177.76:    Connecting via SSH.
2015/11/09 11:49:53 - 52.26.213.247:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.26.213.247:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.157.172:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.157.172:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.187.122:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.187.122:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.159.255:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.159.255:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.144.1:     Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.144.1:     Connecting via SSH.
2015/11/09 11:49:53 - 52.33.174.173:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.174.173:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.155.98:    Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.155.98:    Connecting via SSH.
2015/11/09 11:49:53 - 52.33.177.248:   Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.177.248:   Connecting via SSH.
2015/11/09 11:49:53 - 52.33.152.89:    Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.152.89:    Connecting via SSH.
2015/11/09 11:49:53 - 52.33.165.36:    Checking EC2 instance is running.
2015/11/09 11:49:53 - 52.33.165.36:    Connecting via SSH.
2015/11/09 11:49:55 - 52.33.187.122:   Checking software installation completed.
2015/11/09 11:49:55 - 52.33.187.122:   Waiting for software to install.
2015/11/09 11:49:55 - 52.33.152.89:    Checking software installation completed.
2015/11/09 11:49:56 - 52.33.152.89:    Waiting for software to install.
2015/11/09 11:49:59 - 52.33.127.177:   Checking software installation completed.
2015/11/09 11:49:59 - 52.33.127.177:   Software installation finished.
2015/11/09 11:49:59 - 52.33.127.177:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.26.213.247:   Checking software installation completed.
2015/11/09 11:50:00 - 52.33.155.98:    Checking software installation completed.
2015/11/09 11:50:00 - 52.33.177.76:    Checking software installation completed.
2015/11/09 11:50:00 - 52.33.159.255:   Checking software installation completed.
2015/11/09 11:50:00 - 52.24.88.35:     Checking software installation completed.
2015/11/09 11:50:00 - 52.33.177.248:   Checking software installation completed.
2015/11/09 11:50:00 - 52.33.127.177:   Checking file contents.
2015/11/09 11:50:00 - 52.33.144.1:     Checking software installation completed.
2015/11/09 11:50:00 - 52.26.213.247:   Software installation finished.
2015/11/09 11:50:00 - 52.26.213.247:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.33.174.173:   Checking software installation completed.
2015/11/09 11:50:00 - 52.33.177.76:    Software installation finished.
2015/11/09 11:50:00 - 52.33.177.76:    Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.33.155.98:    Software installation finished.
2015/11/09 11:50:00 - 52.33.155.98:    Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.33.159.255:   Software installation finished.
2015/11/09 11:50:00 - 52.33.159.255:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.24.88.35:     Software installation finished.
2015/11/09 11:50:00 - 52.24.88.35:     Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.33.177.248:   Software installation finished.
2015/11/09 11:50:00 - 52.33.177.248:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.33.157.172:   Waiting on SSH connection.
2015/11/09 11:50:00 - 52.33.127.177:   Remote file contents confirmed.
2015/11/09 11:50:00 - 52.33.165.36:    Checking software installation completed.
2015/11/09 11:50:00 - 52.33.144.1:     Software installation finished.
2015/11/09 11:50:00 - 52.33.144.1:     Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.33.174.173:   Software installation finished.
2015/11/09 11:50:00 - 52.33.174.173:   Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:00 - 52.26.213.247:   Checking file contents.
2015/11/09 11:50:01 - 52.33.177.76:    Checking file contents.
2015/11/09 11:50:01 - 52.33.155.98:    Checking file contents.
2015/11/09 11:50:01 - 52.33.165.36:    Software installation finished.
2015/11/09 11:50:01 - 52.33.165.36:    Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:01 - 52.33.177.248:   Checking file contents.
2015/11/09 11:50:01 - 52.26.213.247:   Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.144.1:     Checking file contents.
2015/11/09 11:50:01 - 52.33.177.76:    Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.167.87:    Checking software installation completed.
2015/11/09 11:50:01 - 52.33.155.98:    Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.174.173:   Checking file contents.
2015/11/09 11:50:01 - 52.24.88.35:     Checking file contents.
2015/11/09 11:50:01 - 52.33.127.177:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:01 - 52.33.127.177:   Completed check of node 52.33.127.177.
2015/11/09 11:50:01 - 52.33.159.255:   Checking file contents.
2015/11/09 11:50:01 - 52.33.177.248:   Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.144.1:     Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.174.173:   Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.165.36:    Checking file contents.
2015/11/09 11:50:01 - 52.24.88.35:     Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.159.255:   Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.167.87:    Software installation finished.
2015/11/09 11:50:01 - 52.33.167.87:    Sending /home/ubuntu/node_health_script via SFTP.
2015/11/09 11:50:01 - 52.33.165.36:    Remote file contents confirmed.
2015/11/09 11:50:01 - 52.33.177.76:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:01 - 52.33.177.76:    Completed check of node 52.33.177.76.
2015/11/09 11:50:01 - 52.26.213.247:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:01 - 52.26.213.247:   Completed check of node 52.26.213.247.
