2012/10/19 07:47:00 - Connecting to AWS region us-west-2.
2012/10/19 07:47:00 - Calculating new unique cluster name for request 352.
2012/10/19 07:47:01 - Creating new cluster name, Hpcc-5N28.
2012/10/19 07:47:01 - Creating Hpcc-5N28 security group.
2012/10/19 07:47:06 - Creating Hpcc-5N28 key pair.
2012/10/19 07:47:08 - Launching 11 m1.large nodes using ami-bcd4588c.
2012/10/19 07:47:09 - Reservation ID r-d30a75e0 created.
2012/10/19 07:47:09 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:17 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:25 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:33 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:41 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:49 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:57 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:48:05 - Waiting for 10 of 11 nodes to launch.
2012/10/19 07:48:13 - Waiting for 9 of 11 nodes to launch.
2012/10/19 07:48:21 - Waiting for 6 of 11 nodes to launch.
2012/10/19 07:48:28 - Waiting for 3 of 11 nodes to launch.
2012/10/19 07:48:33 - Waiting for 2 of 11 nodes to launch.
2012/10/19 07:48:39 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:44 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:50 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:55 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:49:00 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:49:05 - Pending instances have completed.
2012/10/19 07:49:05 - Checking each node launched properly.
2012/10/19 07:49:05 - 54.245.39.38:    Checking EC2 instance i-d585a6e6.
2012/10/19 07:49:05 - 50.112.14.242:   Checking EC2 instance i-db85a6e8.
2012/10/19 07:49:05 - 54.245.47.169:   Checking EC2 instance i-d985a6ea.
2012/10/19 07:49:05 - 54.245.48.39:    Checking EC2 instance i-df85a6ec.
2012/10/19 07:49:05 - 50.112.9.206:    Checking EC2 instance i-dd85a6ee.
2012/10/19 07:49:05 - 50.112.66.190:   Checking EC2 instance i-c385a6f0.
2012/10/19 07:49:05 - 50.112.24.239:   Checking EC2 instance i-c185a6f2.
2012/10/19 07:49:05 - 50.112.11.162:   Checking EC2 instance i-c785a6f4.
2012/10/19 07:49:05 - 50.112.63.31:    Checking EC2 instance i-c585a6f6.
2012/10/19 07:49:05 - 50.112.32.22:    Checking EC2 instance i-cb85a6f8.
2012/10/19 07:49:05 - 50.112.43.105:   Checking EC2 instance i-c985a6fa.
2012/10/19 07:49:06 - 54.245.39.38:    Checking EC2 instance is running.
2012/10/19 07:49:06 - 54.245.39.38:    Connecting via SSH.
2012/10/19 07:49:06 - 54.245.47.169:   Checking EC2 instance is running.
2012/10/19 07:49:06 - 54.245.47.169:   Connecting via SSH.
2012/10/19 07:49:06 - 50.112.24.239:   Checking EC2 instance is running.
2012/10/19 07:49:06 - 50.112.24.239:   Connecting via SSH.
2012/10/19 07:49:06 - 50.112.32.22:    Checking EC2 instance is running.
2012/10/19 07:49:06 - 50.112.32.22:    Connecting via SSH.
2012/10/19 07:49:06 - 50.112.14.242:   Checking EC2 instance is running.
2012/10/19 07:49:06 - 50.112.14.242:   Connecting via SSH.
2012/10/19 07:49:06 - 54.245.48.39:    Checking EC2 instance is running.
2012/10/19 07:49:06 - 54.245.48.39:    Connecting via SSH.
2012/10/19 07:49:06 - 50.112.63.31:    Checking EC2 instance is running.
