2012/10/24 16:50:32 - Connecting to AWS region us-west-2.
2012/10/24 16:50:32 - Calculating new unique cluster name for request 367.
2012/10/24 16:50:33 - Creating new cluster name, Hpcc-TRSY.
2012/10/24 16:50:33 - Creating Hpcc-TRSY security group.
2012/10/24 16:50:37 - Creating Hpcc-TRSY key pair.
2012/10/24 16:50:37 - Launching 11 m1.large nodes using ami-bcd4588c.
2012/10/24 16:50:38 - Reservation ID r-4d24607e created.
2012/10/24 16:50:38 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:50:47 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:50:55 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:03 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:11 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:18 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:26 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:34 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:43 - Waiting for 9 of 11 nodes to launch.
2012/10/24 16:51:50 - Waiting for 8 of 11 nodes to launch.
2012/10/24 16:51:57 - Waiting for 5 of 11 nodes to launch.
2012/10/24 16:52:04 - Waiting for 4 of 11 nodes to launch.
2012/10/24 16:52:10 - Waiting for 3 of 11 nodes to launch.
2012/10/24 16:52:16 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:21 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:27 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:32 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:37 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:42 - Pending instances have completed.
2012/10/24 16:52:42 - Checking each node launched properly.
2012/10/24 16:52:42 - 54.245.52.221:   Checking EC2 instance i-6395be50.
2012/10/24 16:52:42 - 50.112.12.255:   Checking EC2 instance i-6195be52.
2012/10/24 16:52:42 - 50.112.63.31:    Checking EC2 instance i-6795be54.
2012/10/24 16:52:42 - 50.112.87.151:   Checking EC2 instance i-6595be56.
2012/10/24 16:52:42 - 50.112.22.3:     Checking EC2 instance i-6b95be58.
2012/10/24 16:52:42 - 50.112.239.30:   Checking EC2 instance i-6995be5a.
2012/10/24 16:52:42 - 50.112.83.131:   Checking EC2 instance i-6f95be5c.
2012/10/24 16:52:42 - 50.112.86.101:   Checking EC2 instance i-5395be60.
2012/10/24 16:52:42 - 50.112.75.127:   Checking EC2 instance i-6d95be5e.
2012/10/24 16:52:42 - 54.245.48.6:     Checking EC2 instance i-5195be62.
2012/10/24 16:52:42 - 50.112.237.24:   Checking EC2 instance i-5795be64.
2012/10/24 16:52:43 - 50.112.12.255:   Checking EC2 instance is running.
2012/10/24 16:52:43 - 50.112.12.255:   Connecting via SSH.
2012/10/24 16:52:43 - 50.112.63.31:    Checking EC2 instance is running.
2012/10/24 16:52:43 - 50.112.63.31:    Connecting via SSH.
2012/10/24 16:52:43 - 54.245.52.221:   Checking EC2 instance is running.
2012/10/24 16:52:43 - 54.245.52.221:   Connecting via SSH.
2012/10/24 16:52:43 - 50.112.83.131:   Checking EC2 instance is running.
2012/10/24 16:52:43 - 50.112.83.131:   Connecting via SSH.
2012/10/24 16:52:43 - 54.245.48.6:     Checking EC2 instance is running.
2012/10/24 16:52:43 - 54.245.48.6:     Connecting via SSH.
2012/10/24 16:52:43 - 50.112.237.24:   Checking EC2 instance is running.
2012/10/24 16:52:43 - 50.112.237.24:   Connecting via SSH.
2012/10/24 16:52:43 - 50.112.239.30:   Checking EC2 instance is running.
2012/10/24 16:52:43 - 50.112.239.30:   Connecting via SSH.
