2012/10/26 11:42:07 - Connecting to AWS region us-west-2.
2012/10/26 11:42:07 - Calculating new unique cluster name for request 370.
2012/10/26 11:42:08 - Creating new cluster name, Hpcc-G8ZR.
2012/10/26 11:42:08 - Creating Hpcc-G8ZR security group.
2012/10/26 11:42:12 - Creating Hpcc-G8ZR key pair.
2012/10/26 11:42:13 - Launching 20 m1.large nodes using ami-bcd4588c.
2012/10/26 11:42:14 - Reservation ID r-d7cf89e4 created.
2012/10/26 11:42:14 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:25 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:35 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:45 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:56 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:06 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:17 - Waiting for 14 of 20 nodes to launch.
2012/10/26 11:43:26 - Waiting for 10 of 20 nodes to launch.
2012/10/26 11:43:34 - Waiting for 4 of 20 nodes to launch.
2012/10/26 11:43:40 - Pending instances have completed.
2012/10/26 11:43:40 - Checking each node launched properly.
2012/10/26 11:43:40 - 54.245.43.162:   Checking EC2 instance i-e55166d6.
2012/10/26 11:43:40 - 50.112.71.221:   Checking EC2 instance i-eb5166d8.
2012/10/26 11:43:40 - 50.112.88.238:   Checking EC2 instance i-e95166da.
2012/10/26 11:43:40 - 54.245.10.56:    Checking EC2 instance i-ef5166dc.
2012/10/26 11:43:40 - 50.112.25.239:   Checking EC2 instance i-ed5166de.
2012/10/26 11:43:40 - 50.112.64.130:   Checking EC2 instance i-d15166e2.
2012/10/26 11:43:40 - 50.112.11.211:   Checking EC2 instance i-d35166e0.
2012/10/26 11:43:40 - 54.245.43.251:   Checking EC2 instance i-d75166e4.
2012/10/26 11:43:40 - 50.112.81.122:   Checking EC2 instance i-d55166e6.
2012/10/26 11:43:40 - 50.112.197.197:  Checking EC2 instance i-db5166e8.
2012/10/26 11:43:40 - 50.112.225.182:  Checking EC2 instance i-d95166ea.
2012/10/26 11:43:40 - 54.245.4.174:    Checking EC2 instance i-df5166ec.
2012/10/26 11:43:40 - 54.245.5.95:     Checking EC2 instance i-dd5166ee.
2012/10/26 11:43:40 - 50.112.87.94:    Checking EC2 instance i-c35166f0.
2012/10/26 11:43:40 - 54.245.47.88:    Checking EC2 instance i-c15166f2.
2012/10/26 11:43:40 - 50.112.210.56:   Checking EC2 instance i-c75166f4.
2012/10/26 11:43:40 - 50.112.31.42:    Checking EC2 instance i-c55166f6.
2012/10/26 11:43:40 - 50.112.66.190:   Checking EC2 instance i-cb5166f8.
2012/10/26 11:43:40 - 50.112.84.146:   Checking EC2 instance i-c95166fa.
2012/10/26 11:43:40 - 50.112.16.16:    Checking EC2 instance i-cf5166fc.
2012/10/26 11:43:41 - 54.245.43.162:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 54.245.43.162:   Connecting via SSH.
2012/10/26 11:43:41 - 54.245.10.56:    Checking EC2 instance is running.
2012/10/26 11:43:41 - 54.245.10.56:    Connecting via SSH.
2012/10/26 11:43:41 - 54.245.43.251:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 54.245.43.251:   Connecting via SSH.
2012/10/26 11:43:41 - 50.112.64.130:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.64.130:   Connecting via SSH.
2012/10/26 11:43:41 - 50.112.11.211:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.11.211:   Connecting via SSH.
2012/10/26 11:43:41 - 50.112.31.42:    Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.31.42:    Connecting via SSH.
2012/10/26 11:43:41 - 50.112.84.146:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.84.146:   Connecting via SSH.
2012/10/26 11:43:41 - 50.112.25.239:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.25.239:   Connecting via SSH.
2012/10/26 11:43:41 - 54.245.4.174:    Checking EC2 instance is running.
2012/10/26 11:43:41 - 54.245.4.174:    Connecting via SSH.
2012/10/26 11:43:41 - 54.245.5.95:     Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.71.221:   Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.71.221:   Connecting via SSH.
2012/10/26 11:43:41 - 50.112.87.94:    Checking EC2 instance is running.
2012/10/26 11:43:41 - 50.112.87.94:    Connecting via SSH.
2012/10/26 11:43:41 - 50.112.197.197:  Checking EC2 instance is running.
