2012/11/18 23:02:10 - Connecting to AWS region us-west-2.
2012/11/18 23:02:10 - Calculating new unique cluster name for request 403.
2012/11/18 23:02:11 - Creating new cluster name, Hpcc-4RHN.
2012/11/18 23:02:11 - Creating Hpcc-4RHN security group.
2012/11/18 23:02:14 - Creating Hpcc-4RHN key pair.
2012/11/18 23:02:15 - Launching 18 m1.large nodes using ami-e01698d0.
2012/11/18 23:02:15 - Reservation ID r-9d3711ae created.
2012/11/18 23:02:15 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:25 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:34 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:43 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:52 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:01 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:11 - Waiting for 14 of 18 nodes to launch.
2012/11/18 23:03:20 - Waiting for 10 of 18 nodes to launch.
2012/11/18 23:03:27 - Waiting for 6 of 18 nodes to launch.
2012/11/18 23:03:34 - Waiting for 4 of 18 nodes to launch.
2012/11/18 23:03:40 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:45 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:51 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:56 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:01 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:07 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:12 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:17 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:22 - Pending instances have completed.
2012/11/18 23:04:22 - Checking each node launched properly.
2012/11/18 23:04:22 - 50.112.72.69:    Checking EC2 instance i-e55b49d6.
2012/11/18 23:04:22 - 50.112.80.11:    Checking EC2 instance i-eb5b49d8.
2012/11/18 23:04:22 - 50.112.80.15:    Checking EC2 instance i-e95b49da.
2012/11/18 23:04:22 - 50.112.75.1:     Checking EC2 instance i-ef5b49dc.
2012/11/18 23:04:22 - 50.112.32.16:    Checking EC2 instance i-ed5b49de.
2012/11/18 23:04:22 - 54.245.28.175:   Checking EC2 instance i-d35b49e0.
2012/11/18 23:04:22 - 50.112.80.14:    Checking EC2 instance i-d15b49e2.
2012/11/18 23:04:22 - 50.112.10.119:   Checking EC2 instance i-d75b49e4.
2012/11/18 23:04:22 - 50.112.25.20:    Checking EC2 instance i-d55b49e6.
2012/11/18 23:04:22 - 54.245.128.129:  Checking EC2 instance i-db5b49e8.
2012/11/18 23:04:22 - 54.245.130.252:  Checking EC2 instance i-d95b49ea.
2012/11/18 23:04:22 - 50.112.67.14:    Checking EC2 instance i-df5b49ec.
2012/11/18 23:04:22 - 50.112.214.189:  Checking EC2 instance i-dd5b49ee.
2012/11/18 23:04:22 - 50.112.40.106:   Checking EC2 instance i-c35b49f0.
2012/11/18 23:04:22 - 50.112.213.21:   Checking EC2 instance i-c15b49f2.
2012/11/18 23:04:22 - 54.245.5.57:     Checking EC2 instance i-c75b49f4.
2012/11/18 23:04:22 - 54.245.132.12:   Checking EC2 instance i-c55b49f6.
2012/11/18 23:04:22 - 50.112.21.218:   Checking EC2 instance i-cb5b49f8.
2012/11/18 23:04:23 - 50.112.72.69:    Checking EC2 instance is running.
2012/11/18 23:04:23 - 50.112.72.69:    Connecting via SSH.
2012/11/18 23:04:23 - 50.112.80.14:    Checking EC2 instance is running.
2012/11/18 23:04:23 - 50.112.80.14:    Connecting via SSH.
2012/11/18 23:04:23 - 50.112.214.189:  Checking EC2 instance is running.
