2012/11/19 23:41:28 - Connecting to AWS region us-west-2.
2012/11/19 23:41:28 - Calculating new unique cluster name for request 411.
2012/11/19 23:41:28 - Creating new cluster name, Hpcc-ZWME.
2012/11/19 23:41:28 - Creating Hpcc-ZWME security group.
2012/11/19 23:41:32 - Creating Hpcc-ZWME key pair.
2012/11/19 23:41:33 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/19 23:41:34 - Reservation ID r-59a8896a created.
2012/11/19 23:41:34 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:43 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:52 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:00 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:09 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:17 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:26 - Waiting for 9 of 13 nodes to launch.
2012/11/19 23:42:34 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:40 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:48 - Waiting for 2 of 13 nodes to launch.
2012/11/19 23:42:53 - Pending instances have completed.
2012/11/19 23:42:53 - Checking each node launched properly.
2012/11/19 23:42:53 - 50.112.53.249:   Checking EC2 instance i-bb918c88.
2012/11/19 23:42:53 - 54.245.41.49:    Checking EC2 instance i-b9918c8a.
2012/11/19 23:42:53 - 50.112.46.71:    Checking EC2 instance i-bf918c8c.
2012/11/19 23:42:53 - 50.112.83.78:    Checking EC2 instance i-bd918c8e.
2012/11/19 23:42:53 - 50.112.232.185:  Checking EC2 instance i-a3918c90.
2012/11/19 23:42:53 - 50.112.15.60:    Checking EC2 instance i-a1918c92.
2012/11/19 23:42:53 - 54.245.35.163:   Checking EC2 instance i-a7918c94.
2012/11/19 23:42:53 - 50.112.70.103:   Checking EC2 instance i-a5918c96.
2012/11/19 23:42:53 - 50.112.65.145:   Checking EC2 instance i-ab918c98.
2012/11/19 23:42:53 - 54.245.48.199:   Checking EC2 instance i-a9918c9a.
2012/11/19 23:42:53 - 54.245.53.255:   Checking EC2 instance i-af918c9c.
2012/11/19 23:42:53 - 54.245.52.218:   Checking EC2 instance i-ad918c9e.
2012/11/19 23:42:53 - 50.112.70.104:   Checking EC2 instance i-93918ca0.
2012/11/19 23:42:54 - 50.112.53.249:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.53.249:   Connecting via SSH.
2012/11/19 23:42:54 - 50.112.46.71:    Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.46.71:    Connecting via SSH.
2012/11/19 23:42:54 - 54.245.52.218:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 54.245.52.218:   Connecting via SSH.
2012/11/19 23:42:54 - 54.245.48.199:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 54.245.48.199:   Connecting via SSH.
2012/11/19 23:42:54 - 50.112.15.60:    Checking EC2 instance is running.
2012/11/19 23:42:54 - 54.245.41.49:    Checking EC2 instance is running.
2012/11/19 23:42:54 - 54.245.41.49:    Connecting via SSH.
2012/11/19 23:42:54 - 50.112.65.145:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.65.145:   Connecting via SSH.
2012/11/19 23:42:54 - 54.245.53.255:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 54.245.53.255:   Connecting via SSH.
2012/11/19 23:42:54 - 50.112.15.60:    Connecting via SSH.
2012/11/19 23:42:54 - 50.112.83.78:    Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.83.78:    Connecting via SSH.
2012/11/19 23:42:54 - 50.112.70.104:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.70.104:   Connecting via SSH.
2012/11/19 23:42:54 - 54.245.52.218:   Waiting on SSH connection.
2012/11/19 23:42:54 - 50.112.46.71:    Waiting on SSH connection.
2012/11/19 23:42:54 - 54.245.35.163:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 54.245.35.163:   Connecting via SSH.
2012/11/19 23:42:54 - 50.112.232.185:  Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.232.185:  Connecting via SSH.
2012/11/19 23:42:54 - 50.112.70.103:   Checking EC2 instance is running.
2012/11/19 23:42:54 - 50.112.70.103:   Connecting via SSH.
2012/11/19 23:42:54 - 50.112.65.145:   Waiting on SSH connection.
2012/11/19 23:43:00 - 50.112.53.249:   Checking software installation completed.
2012/11/19 23:43:00 - 54.245.48.199:   Checking software installation completed.
2012/11/19 23:43:00 - 54.245.41.49:    Checking software installation completed.
2012/11/19 23:43:00 - 50.112.15.60:    Checking software installation completed.
2012/11/19 23:43:00 - 50.112.53.249:   Software installation finished.
2012/11/19 23:43:00 - 50.112.53.249:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:00 - 54.245.53.255:   Checking software installation completed.
2012/11/19 23:43:00 - 50.112.70.104:   Checking software installation completed.
2012/11/19 23:43:00 - 54.245.35.163:   Checking software installation completed.
2012/11/19 23:43:00 - 50.112.83.78:    Checking software installation completed.
2012/11/19 23:43:00 - 50.112.232.185:  Checking software installation completed.
2012/11/19 23:43:00 - 54.245.48.199:   Software installation finished.
2012/11/19 23:43:00 - 54.245.48.199:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:00 - 54.245.41.49:    Software installation finished.
2012/11/19 23:43:00 - 54.245.41.49:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.15.60:    Software installation finished.
2012/11/19 23:43:01 - 50.112.15.60:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.70.104:   Software installation finished.
2012/11/19 23:43:01 - 50.112.70.104:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 54.245.53.255:   Software installation finished.
2012/11/19 23:43:01 - 54.245.53.255:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.70.103:   Checking software installation completed.
2012/11/19 23:43:01 - 54.245.35.163:   Software installation finished.
2012/11/19 23:43:01 - 54.245.35.163:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.232.185:  Software installation finished.
2012/11/19 23:43:01 - 50.112.232.185:  Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.83.78:    Software installation finished.
2012/11/19 23:43:01 - 50.112.83.78:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.53.249:   Checking file contents.
2012/11/19 23:43:01 - 50.112.70.103:   Software installation finished.
2012/11/19 23:43:01 - 50.112.70.103:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 54.245.48.199:   Checking file contents.
2012/11/19 23:43:01 - 50.112.70.104:   Checking file contents.
2012/11/19 23:43:01 - 54.245.41.49:    Checking file contents.
2012/11/19 23:43:01 - 50.112.53.249:   Remote file contents confirmed.
2012/11/19 23:43:01 - 50.112.15.60:    Checking file contents.
2012/11/19 23:43:01 - 54.245.53.255:   Checking file contents.
2012/11/19 23:43:01 - 54.245.35.163:   Checking file contents.
2012/11/19 23:43:01 - 50.112.232.185:  Checking file contents.
