2012/11/20 04:25:22 - Connecting to AWS region us-west-2.
2012/11/20 04:25:22 - Calculating new unique cluster name for request 412.
2012/11/20 04:25:22 - Creating new cluster name, Hpcc-2M4P.
2012/11/20 04:25:22 - Creating Hpcc-2M4P security group.
2012/11/20 04:25:26 - Creating Hpcc-2M4P key pair.
2012/11/20 04:25:27 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/20 04:25:28 - Reservation ID r-07684834 created.
2012/11/20 04:25:28 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:37 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:45 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:54 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:02 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:11 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:20 - Waiting for 10 of 13 nodes to launch.
2012/11/20 04:26:28 - Waiting for 6 of 13 nodes to launch.
2012/11/20 04:26:35 - Waiting for 4 of 13 nodes to launch.
2012/11/20 04:26:41 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:47 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:52 - Waiting for 1 of 13 nodes to launch.
2012/11/20 04:26:57 - Pending instances have completed.
2012/11/20 04:26:57 - Checking each node launched properly.
2012/11/20 04:26:57 - 50.112.202.38:   Checking EC2 instance i-cf4955fc.
2012/11/20 04:26:57 - 54.245.37.86:    Checking EC2 instance i-cd4955fe.
2012/11/20 04:26:57 - 54.245.29.21:    Checking EC2 instance i-334a5600.
2012/11/20 04:26:57 - 54.245.32.49:    Checking EC2 instance i-314a5602.
2012/11/20 04:26:57 - 54.245.46.17:    Checking EC2 instance i-374a5604.
2012/11/20 04:26:57 - 54.245.39.230:   Checking EC2 instance i-354a5606.
2012/11/20 04:26:57 - 50.112.39.43:    Checking EC2 instance i-3b4a5608.
2012/11/20 04:26:57 - 50.112.230.251:  Checking EC2 instance i-394a560a.
2012/11/20 04:26:57 - 54.245.140.111:  Checking EC2 instance i-3f4a560c.
2012/11/20 04:26:57 - 50.112.9.148:    Checking EC2 instance i-3d4a560e.
2012/11/20 04:26:57 - 50.112.6.56:     Checking EC2 instance i-234a5610.
2012/11/20 04:26:57 - 50.112.30.220:   Checking EC2 instance i-214a5612.
2012/11/20 04:26:57 - 50.112.8.210:    Checking EC2 instance i-274a5614.
2012/11/20 04:26:58 - 50.112.202.38:   Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.202.38:   Connecting via SSH.
2012/11/20 04:26:58 - 50.112.39.43:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.39.43:    Connecting via SSH.
2012/11/20 04:26:58 - 50.112.9.148:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.9.148:    Connecting via SSH.
2012/11/20 04:26:58 - 54.245.32.49:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 54.245.140.111:  Checking EC2 instance is running.
2012/11/20 04:26:58 - 54.245.140.111:  Connecting via SSH.
2012/11/20 04:26:58 - 54.245.32.49:    Connecting via SSH.
2012/11/20 04:26:58 - 50.112.230.251:  Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.230.251:  Connecting via SSH.
2012/11/20 04:26:58 - 54.245.39.230:   Checking EC2 instance is running.
2012/11/20 04:26:58 - 54.245.39.230:   Connecting via SSH.
2012/11/20 04:26:58 - 54.245.29.21:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 54.245.29.21:    Connecting via SSH.
2012/11/20 04:26:58 - 50.112.6.56:     Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.6.56:     Connecting via SSH.
2012/11/20 04:26:58 - 50.112.30.220:   Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.30.220:   Connecting via SSH.
2012/11/20 04:26:58 - 54.245.37.86:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 54.245.37.86:    Connecting via SSH.
2012/11/20 04:26:58 - 54.245.46.17:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 54.245.46.17:    Connecting via SSH.
2012/11/20 04:26:58 - 50.112.39.43:    Waiting on SSH connection.
2012/11/20 04:26:58 - 50.112.8.210:    Checking EC2 instance is running.
2012/11/20 04:26:58 - 50.112.8.210:    Connecting via SSH.
2012/11/20 04:27:04 - 50.112.202.38:   Checking software installation completed.
2012/11/20 04:27:04 - 50.112.202.38:   Software installation finished.
2012/11/20 04:27:04 - 50.112.202.38:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:05 - 50.112.9.148:    Checking software installation completed.
2012/11/20 04:27:05 - 54.245.29.21:    Checking software installation completed.
2012/11/20 04:27:05 - 54.245.37.86:    Checking software installation completed.
2012/11/20 04:27:05 - 50.112.202.38:   Checking file contents.
2012/11/20 04:27:05 - 54.245.39.230:   Checking software installation completed.
2012/11/20 04:27:05 - 54.245.140.111:  Checking software installation completed.
2012/11/20 04:27:05 - 54.245.32.49:    Checking software installation completed.
2012/11/20 04:27:05 - 50.112.9.148:    Software installation finished.
2012/11/20 04:27:05 - 50.112.9.148:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:05 - 54.245.46.17:    Checking software installation completed.
2012/11/20 04:27:05 - 50.112.230.251:  Checking software installation completed.
2012/11/20 04:27:05 - 54.245.37.86:    Software installation finished.
2012/11/20 04:27:05 - 54.245.37.86:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:05 - 50.112.202.38:   Remote file contents confirmed.
2012/11/20 04:27:05 - 54.245.29.21:    Software installation finished.
2012/11/20 04:27:05 - 54.245.29.21:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:05 - 50.112.30.220:   Checking software installation completed.
