2013/01/22 01:52:34 - Connecting to AWS region us-west-2.
2013/01/22 01:52:34 - Calculating new unique cluster name for request 480.
2013/01/22 01:52:35 - Creating new cluster name, Hpcc-D89Y.
2013/01/22 01:52:35 - Creating Hpcc-D89Y security group.
2013/01/22 01:52:39 - Creating Hpcc-D89Y key pair.
2013/01/22 01:52:41 - Launching 22 m1.large nodes using ami-e01698d0.
2013/01/22 01:52:42 - Reservation ID r-6652a454 created.
2013/01/22 01:52:42 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:52:55 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:06 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:17 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:27 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:38 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:50 - Waiting for 17 of 22 nodes to launch.
2013/01/22 01:54:01 - Waiting for 6 of 22 nodes to launch.
2013/01/22 01:54:08 - Pending instances have completed.
2013/01/22 01:54:08 - Checking each node launched properly.
2013/01/22 01:54:08 - 50.112.220.33:   Checking EC2 instance i-fcb60bce.
2013/01/22 01:54:08 - 54.245.155.76:   Checking EC2 instance i-e2b60bd0.
2013/01/22 01:54:08 - 50.112.41.72:    Checking EC2 instance i-e0b60bd2.
2013/01/22 01:54:08 - 50.112.234.139:  Checking EC2 instance i-e6b60bd4.
2013/01/22 01:54:08 - 54.245.143.135:  Checking EC2 instance i-e4b60bd6.
2013/01/22 01:54:08 - 50.112.37.195:   Checking EC2 instance i-eab60bd8.
2013/01/22 01:54:08 - 50.112.55.158:   Checking EC2 instance i-e8b60bda.
2013/01/22 01:54:08 - 50.112.51.78:    Checking EC2 instance i-eeb60bdc.
2013/01/22 01:54:08 - 54.245.164.40:   Checking EC2 instance i-ecb60bde.
2013/01/22 01:54:08 - 50.112.193.202:  Checking EC2 instance i-d2b60be0.
2013/01/22 01:54:08 - 50.112.224.59:   Checking EC2 instance i-d0b60be2.
2013/01/22 01:54:08 - 54.245.144.173:  Checking EC2 instance i-d6b60be4.
2013/01/22 01:54:08 - 50.112.20.140:   Checking EC2 instance i-d4b60be6.
2013/01/22 01:54:08 - 54.245.57.211:   Checking EC2 instance i-dab60be8.
2013/01/22 01:54:08 - 50.112.41.42:    Checking EC2 instance i-d8b60bea.
