2013/09/12 16:57:02 - Connecting to AWS region us-west-2.
2013/09/12 16:57:02 - Calculating new unique cluster name for request 684.
2013/09/12 16:57:03 - Creating new cluster name, Hpcc-X4GC.
2013/09/12 16:57:03 - Creating Hpcc-X4GC security group.
2013/09/12 16:57:06 - Creating Hpcc-X4GC key pair.
2013/09/12 16:57:07 - Launching 18 m1.large nodes using ami-4dc7577d.
2013/09/12 16:57:08 - Reservation ID r-357f8102 created.
2013/09/12 16:57:08 - Waiting for 18 of 18 nodes to launch.
2013/09/12 16:57:17 - Waiting for 18 of 18 nodes to launch.
2013/09/12 16:57:26 - Waiting for 18 of 18 nodes to launch.
2013/09/12 16:57:34 - Waiting for 18 of 18 nodes to launch.
2013/09/12 16:57:43 - Waiting for 18 of 18 nodes to launch.
2013/09/12 16:57:51 - Waiting for 18 of 18 nodes to launch.
2013/09/12 16:58:01 - Waiting for 17 of 18 nodes to launch.
2013/09/12 16:58:10 - Waiting for 17 of 18 nodes to launch.
2013/09/12 16:58:19 - Waiting for 14 of 18 nodes to launch.
2013/09/12 16:58:27 - Waiting for 5 of 18 nodes to launch.
2013/09/12 16:58:34 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:58:39 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:58:44 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:58:49 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:58:54 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:00 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:05 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:10 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:15 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:20 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:26 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:31 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:36 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:41 - Waiting for 1 of 18 nodes to launch.
2013/09/12 16:59:46 - Pending instances have completed.
2013/09/12 16:59:46 - Checking each node launched properly.
2013/09/12 16:59:46 - 54.245.57.183:   Checking EC2 instance i-33f51904.
2013/09/12 16:59:46 - 54.245.221.118:  Checking EC2 instance i-32f51905.
2013/09/12 16:59:46 - 54.244.110.95:   Checking EC2 instance i-30f51907.
2013/09/12 16:59:46 - 54.214.117.100:  Checking EC2 instance i-27f51910.
2013/09/12 16:59:46 - 54.212.160.99:   Checking EC2 instance i-26f51911.
2013/09/12 16:59:46 - 54.214.137.21:   Checking EC2 instance i-25f51912.
2013/09/12 16:59:46 - 54.218.148.232:  Checking EC2 instance i-24f51913.
2013/09/12 16:59:46 - 54.214.184.199:  Checking EC2 instance i-22f51915.
2013/09/12 16:59:46 - 54.245.18.73:    Checking EC2 instance i-21f51916.
2013/09/12 16:59:46 - 54.245.179.246:  Checking EC2 instance i-20f51917.
2013/09/12 16:59:46 - 54.245.22.144:   Checking EC2 instance i-2ff51918.
2013/09/12 16:59:46 - 54.214.93.253:   Checking EC2 instance i-2ef51919.
2013/09/12 16:59:46 - 54.218.164.162:  Checking EC2 instance i-2df5191a.
2013/09/12 16:59:46 - 54.212.164.156:  Checking EC2 instance i-2cf5191b.
2013/09/12 16:59:46 - 54.245.155.232:  Checking EC2 instance i-2bf5191c.
2013/09/12 16:59:46 - 54.214.124.236:  Checking EC2 instance i-2af5191d.
2013/09/12 16:59:46 - 54.214.195.4:    Checking EC2 instance i-29f5191e.
2013/09/12 16:59:46 - 54.212.77.219:   Checking EC2 instance i-28f5191f.
2013/09/12 16:59:47 - 54.245.57.183:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.245.57.183:   Connecting via SSH.
2013/09/12 16:59:47 - 54.212.160.99:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.212.160.99:   Connecting via SSH.
2013/09/12 16:59:47 - 54.212.77.219:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.212.77.219:   Connecting via SSH.
2013/09/12 16:59:47 - 54.245.221.118:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.245.221.118:  Connecting via SSH.
2013/09/12 16:59:47 - 54.212.164.156:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.212.164.156:  Connecting via SSH.
2013/09/12 16:59:47 - 54.218.164.162:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.218.164.162:  Connecting via SSH.
2013/09/12 16:59:47 - 54.245.22.144:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.245.22.144:   Connecting via SSH.
2013/09/12 16:59:47 - 54.245.18.73:    Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.245.18.73:    Connecting via SSH.
2013/09/12 16:59:47 - 54.214.117.100:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.214.117.100:  Connecting via SSH.
2013/09/12 16:59:47 - 54.245.155.232:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.245.155.232:  Connecting via SSH.
2013/09/12 16:59:47 - 54.245.179.246:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.214.93.253:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.214.93.253:   Connecting via SSH.
2013/09/12 16:59:47 - 54.244.110.95:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.244.110.95:   Connecting via SSH.
2013/09/12 16:59:47 - 54.245.179.246:  Connecting via SSH.
2013/09/12 16:59:47 - 54.218.148.232:  Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.218.148.232:  Connecting via SSH.
2013/09/12 16:59:47 - 54.214.137.21:   Checking EC2 instance is running.
2013/09/12 16:59:47 - 54.214.137.21:   Connecting via SSH.
