2013/05/14 16:43:45 - Connecting to AWS region us-west-2.
2013/05/14 16:43:45 - Calculating new unique cluster name for request 592.
2013/05/14 16:43:46 - Creating new cluster name, Hpcc-HZMD.
2013/05/14 16:43:46 - Creating Hpcc-HZMD security group.
2013/05/14 16:43:49 - Creating Hpcc-HZMD key pair.
2013/05/14 16:43:51 - Launching 48 m1.large nodes using ami-c1ca5cf1.
2013/05/14 16:43:54 - Reservation ID r-75b2b447 created.
2013/05/14 16:43:54 - Waiting for 48 of 48 nodes to launch.
2013/05/14 16:44:12 - Waiting for 48 of 48 nodes to launch.
2013/05/14 16:44:27 - Waiting for 48 of 48 nodes to launch.
2013/05/14 16:44:42 - Waiting for 48 of 48 nodes to launch.
2013/05/14 16:44:59 - Waiting for 47 of 48 nodes to launch.
2013/05/14 16:45:18 - Waiting for 16 of 48 nodes to launch.
2013/05/14 16:45:27 - Waiting for 8 of 48 nodes to launch.
2013/05/14 16:45:35 - Waiting for 7 of 48 nodes to launch.
2013/05/14 16:45:42 - Waiting for 5 of 48 nodes to launch.
2013/05/14 16:45:48 - Waiting for 4 of 48 nodes to launch.
2013/05/14 16:45:54 - Waiting for 3 of 48 nodes to launch.
2013/05/14 16:46:00 - Waiting for 3 of 48 nodes to launch.
2013/05/14 16:46:06 - Waiting for 3 of 48 nodes to launch.
2013/05/14 16:46:11 - Waiting for 3 of 48 nodes to launch.
2013/05/14 16:46:17 - Waiting for 3 of 48 nodes to launch.
2013/05/14 16:46:23 - Waiting for 3 of 48 nodes to launch.
2013/05/14 16:46:29 - Waiting for 2 of 48 nodes to launch.
2013/05/14 16:46:34 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:46:39 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:46:45 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:46:50 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:46:55 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:47:00 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:47:06 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:47:11 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:47:16 - Waiting for 1 of 48 nodes to launch.
2013/05/14 16:47:21 - Pending instances have completed.
2013/05/14 16:47:21 - Checking each node launched properly.
2013/05/14 16:47:21 - 54.245.3.86:     Checking EC2 instance i-0e348b3b.
2013/05/14 16:47:21 - 54.244.203.137:  Checking EC2 instance i-08348b3d.
2013/05/14 16:47:21 - 50.112.24.14:    Checking EC2 instance i-0a348b3f.
2013/05/14 16:47:21 - 54.244.180.126:  Checking EC2 instance i-74348b41.
2013/05/14 16:47:21 - 54.214.58.86:    Checking EC2 instance i-76348b43.
2013/05/14 16:47:21 - 54.245.194.113:  Checking EC2 instance i-70348b45.
2013/05/14 16:47:21 - 54.244.142.177:  Checking EC2 instance i-72348b47.
2013/05/14 16:47:21 - 54.244.216.77:   Checking EC2 instance i-7c348b49.
2013/05/14 16:47:21 - 54.245.27.116:   Checking EC2 instance i-7e348b4b.
2013/05/14 16:47:21 - 54.214.61.38:    Checking EC2 instance i-78348b4d.
2013/05/14 16:47:21 - 54.244.74.247:   Checking EC2 instance i-7a348b4f.
2013/05/14 16:47:21 - 54.245.200.152:  Checking EC2 instance i-64348b51.
2013/05/14 16:47:21 - 54.244.196.171:  Checking EC2 instance i-66348b53.
2013/05/14 16:47:21 - 54.244.147.82:   Checking EC2 instance i-60348b55.
2013/05/14 16:47:21 - 54.245.185.167:  Checking EC2 instance i-62348b57.
2013/05/14 16:47:21 - 54.214.60.251:   Checking EC2 instance i-6c348b59.
2013/05/14 16:47:21 - 54.245.137.14:   Checking EC2 instance i-6e348b5b.
2013/05/14 16:47:21 - 50.112.83.31:    Checking EC2 instance i-68348b5d.
2013/05/14 16:47:21 - 54.245.17.37:    Checking EC2 instance i-6a348b5f.
2013/05/14 16:47:21 - 54.214.73.177:   Checking EC2 instance i-54348b61.
2013/05/14 16:47:21 - 54.245.20.137:   Checking EC2 instance i-56348b63.
2013/05/14 16:47:21 - 54.244.147.234:  Checking EC2 instance i-50348b65.
2013/05/14 16:47:21 - 54.244.68.2:     Checking EC2 instance i-52348b67.
2013/05/14 16:47:21 - 54.245.138.7:    Checking EC2 instance i-5c348b69.
2013/05/14 16:47:21 - 54.214.58.102:   Checking EC2 instance i-5e348b6b.
2013/05/14 16:47:22 - 54.245.3.86:     Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.245.3.86:     Connecting via SSH.
2013/05/14 16:47:22 - 54.244.147.82:   Checking EC2 instance is running.
2013/05/14 16:47:22 - 50.112.24.14:    Checking EC2 instance is running.
2013/05/14 16:47:22 - 50.112.24.14:    Connecting via SSH.
2013/05/14 16:47:22 - 54.245.200.152:  Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.245.200.152:  Connecting via SSH.
2013/05/14 16:47:22 - 54.214.61.38:    Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.245.138.7:    Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.245.138.7:    Connecting via SSH.
