2013/05/20 09:48:07 - Connecting to AWS region us-west-2.
2013/05/20 09:48:07 - Calculating new unique cluster name for request 602.
2013/05/20 09:48:08 - Creating new cluster name, Hpcc-P2R7.
2013/05/20 09:48:08 - Creating Hpcc-P2R7 security group.
2013/05/20 09:48:11 - Creating Hpcc-P2R7 key pair.
2013/05/20 09:48:12 - Launching 11 m1.large nodes using ami-c1ca5cf1.
2013/05/20 09:48:13 - Reservation ID r-03051131 created.
2013/05/20 09:48:13 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:21 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:28 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:36 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:43 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:50 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:58 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:49:06 - Waiting for 9 of 11 nodes to launch.
2013/05/20 09:49:13 - Waiting for 7 of 11 nodes to launch.
2013/05/20 09:49:20 - Waiting for 3 of 11 nodes to launch.
2013/05/20 09:49:25 - Pending instances have completed.
2013/05/20 09:49:25 - Checking each node launched properly.
2013/05/20 09:49:25 - 54.214.68.113:   Checking EC2 instance i-2ce16f19.
2013/05/20 09:49:25 - 54.245.207.120:  Checking EC2 instance i-2ee16f1b.
2013/05/20 09:49:25 - 54.244.218.166:  Checking EC2 instance i-28e16f1d.
2013/05/20 09:49:25 - 54.214.129.217:  Checking EC2 instance i-2ae16f1f.
2013/05/20 09:49:25 - 54.245.163.138:  Checking EC2 instance i-14e16f21.
2013/05/20 09:49:25 - 54.214.131.24:   Checking EC2 instance i-16e16f23.
2013/05/20 09:49:25 - 54.244.75.45:    Checking EC2 instance i-10e16f25.
2013/05/20 09:49:25 - 54.214.135.161:  Checking EC2 instance i-12e16f27.
2013/05/20 09:49:25 - 54.245.153.228:  Checking EC2 instance i-1ce16f29.
2013/05/20 09:49:25 - 54.214.69.120:   Checking EC2 instance i-1ee16f2b.
2013/05/20 09:49:25 - 54.214.77.58:    Checking EC2 instance i-18e16f2d.
2013/05/20 09:49:26 - 54.214.68.113:   Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.214.68.113:   Connecting via SSH.
2013/05/20 09:49:26 - 54.214.129.217:  Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.214.129.217:  Connecting via SSH.
2013/05/20 09:49:26 - 54.245.207.120:  Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.245.207.120:  Connecting via SSH.
2013/05/20 09:49:26 - 54.214.135.161:  Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.214.135.161:  Connecting via SSH.
2013/05/20 09:49:26 - 54.214.131.24:   Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.214.131.24:   Connecting via SSH.
2013/05/20 09:49:26 - 54.214.77.58:    Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.214.77.58:    Connecting via SSH.
2013/05/20 09:49:26 - 54.244.218.166:  Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.244.218.166:  Connecting via SSH.
2013/05/20 09:49:26 - 54.244.75.45:    Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.244.75.45:    Connecting via SSH.
2013/05/20 09:49:26 - 54.245.163.138:  Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.245.163.138:  Connecting via SSH.
2013/05/20 09:49:26 - 54.245.207.120:  Waiting on SSH connection.
2013/05/20 09:49:26 - 54.214.131.24:   Waiting on SSH connection.
2013/05/20 09:49:26 - 54.214.69.120:   Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.214.69.120:   Connecting via SSH.
2013/05/20 09:49:26 - 54.245.153.228:  Checking EC2 instance is running.
2013/05/20 09:49:26 - 54.245.153.228:  Connecting via SSH.
2013/05/20 09:49:28 - 54.214.129.217:  Waiting on SSH connection.
2013/05/20 09:49:28 - 54.244.75.45:    Checking software installation completed.
2013/05/20 09:49:28 - 54.244.75.45:    Waiting for software to install.
2013/05/20 09:49:32 - 54.214.68.113:   Checking software installation completed.
2013/05/20 09:49:32 - 54.245.153.228:  Checking software installation completed.
2013/05/20 09:49:32 - 54.244.218.166:  Checking software installation completed.
2013/05/20 09:49:32 - 54.214.69.120:   Checking software installation completed.
2013/05/20 09:49:32 - 54.214.68.113:   Software installation finished.
2013/05/20 09:49:32 - 54.214.68.113:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:32 - 54.245.153.228:  Software installation finished.
2013/05/20 09:49:32 - 54.245.153.228:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:32 - 54.214.69.120:   Software installation finished.
2013/05/20 09:49:32 - 54.214.69.120:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:33 - 54.214.77.58:    Checking software installation completed.
2013/05/20 09:49:33 - 54.244.218.166:  Software installation finished.
2013/05/20 09:49:33 - 54.244.218.166:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:33 - 54.245.163.138:  Checking software installation completed.
2013/05/20 09:49:33 - 54.245.153.228:  Checking file contents.
2013/05/20 09:49:33 - 54.214.68.113:   Checking file contents.
2013/05/20 09:49:33 - 54.214.77.58:    Software installation finished.
2013/05/20 09:49:33 - 54.214.77.58:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:33 - 54.214.69.120:   Checking file contents.
2013/05/20 09:49:33 - 54.214.131.24:   Checking software installation completed.
2013/05/20 09:49:33 - 54.245.153.228:  Remote file contents confirmed.
2013/05/20 09:49:33 - 54.214.68.113:   Remote file contents confirmed.
2013/05/20 09:49:33 - 54.244.218.166:  Checking file contents.
2013/05/20 09:49:33 - 54.214.69.120:   Remote file contents confirmed.
2013/05/20 09:49:33 - 54.245.163.138:  Software installation finished.
2013/05/20 09:49:33 - 54.245.163.138:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:33 - 54.214.131.24:   Waiting for software to install.
2013/05/20 09:49:33 - 54.214.77.58:    Checking file contents.
2013/05/20 09:49:33 - 54.244.218.166:  Remote file contents confirmed.
2013/05/20 09:49:34 - 54.245.153.228:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:34 - 54.214.77.58:    Remote file contents confirmed.
2013/05/20 09:49:34 - 54.245.153.228:  Completed check of node 54.245.153.228.
2013/05/20 09:49:34 - 54.245.163.138:  Checking file contents.
2013/05/20 09:49:34 - 54.214.69.120:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:34 - 54.214.68.113:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:34 - 54.214.68.113:   Completed check of node 54.214.68.113.
2013/05/20 09:49:34 - 54.214.69.120:   Completed check of node 54.214.69.120.
2013/05/20 09:49:34 - 54.245.163.138:  Remote file contents confirmed.
2013/05/20 09:49:34 - 54.244.218.166:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:34 - 54.244.218.166:  Completed check of node 54.244.218.166.
2013/05/20 09:49:34 - 54.214.129.217:  Checking software installation completed.
2013/05/20 09:49:34 - 54.214.77.58:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:34 - 54.214.77.58:    Completed check of node 54.214.77.58.
2013/05/20 09:49:34 - 54.214.129.217:  Waiting for software to install.
2013/05/20 09:49:35 - 54.245.163.138:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:35 - 54.245.163.138:  Completed check of node 54.245.163.138.
2013/05/20 09:49:37 - 54.245.207.120:  Checking software installation completed.
2013/05/20 09:49:38 - 54.245.207.120:  Software installation finished.
2013/05/20 09:49:38 - 54.245.207.120:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:38 - 54.245.207.120:  Checking file contents.
2013/05/20 09:49:38 - 54.244.75.45:    Software installation finished.
2013/05/20 09:49:38 - 54.244.75.45:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:38 - 54.245.207.120:  Remote file contents confirmed.
2013/05/20 09:49:39 - 54.244.75.45:    Checking file contents.
2013/05/20 09:49:39 - 54.245.207.120:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:39 - 54.245.207.120:  Completed check of node 54.245.207.120.
2013/05/20 09:49:39 - 54.244.75.45:    Remote file contents confirmed.
2013/05/20 09:49:40 - 54.244.75.45:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:40 - 54.244.75.45:    Completed check of node 54.244.75.45.
2013/05/20 09:49:44 - 54.214.131.24:   Software installation finished.
2013/05/20 09:49:44 - 54.214.131.24:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:44 - 54.214.131.24:   Checking file contents.
2013/05/20 09:49:44 - 54.214.131.24:   Remote file contents confirmed.
2013/05/20 09:49:45 - 54.214.129.217:  Software installation finished.
2013/05/20 09:49:45 - 54.214.129.217:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:49:45 - 54.214.131.24:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:49:45 - 54.214.131.24:   Completed check of node 54.214.131.24.
