2013/05/24 17:30:40 - Connecting to AWS region us-west-2.
2013/05/24 17:30:40 - Calculating new unique cluster name for request 611.
2013/05/24 17:30:41 - Creating new cluster name, Hpcc-2YEC.
2013/05/24 17:30:41 - Creating Hpcc-2YEC security group.
2013/05/24 17:30:45 - Creating Hpcc-2YEC key pair.
2013/05/24 17:30:46 - Launching 205 m1.large nodes using ami-c1ca5cf1.
2013/05/24 17:31:15 - Reservation ID r-0d29373f created.
2013/05/24 17:31:15 - Waiting for 205 of 205 nodes to launch.
2013/05/24 17:32:13 - Waiting for 205 of 205 nodes to launch.
2013/05/24 17:33:12 - Waiting for 142 of 205 nodes to launch.
2013/05/24 17:33:54 - Waiting for 12 of 205 nodes to launch.
2013/05/24 17:34:03 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:09 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:14 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:20 - Waiting for 1 of 205 nodes to launch.
2013/05/24 17:34:25 - Pending instances have completed.
2013/05/24 17:34:25 - Checking each node launched properly.
2013/05/24 17:34:25 - 54.214.168.217:  Checking EC2 instance i-1ea6342b.
2013/05/24 17:34:25 - 54.214.64.205:   Checking EC2 instance i-18a6342d.
2013/05/24 17:34:25 - 50.112.208.146:  Checking EC2 instance i-1aa6342f.
2013/05/24 17:34:25 - 54.245.153.228:  Checking EC2 instance i-04a63431.
2013/05/24 17:34:25 - 54.214.177.148:  Checking EC2 instance i-06a63433.
2013/05/24 17:34:25 - 54.214.144.192:  Checking EC2 instance i-00a63435.
2013/05/24 17:34:25 - 54.244.130.95:   Checking EC2 instance i-02a63437.
2013/05/24 17:34:25 - 54.214.105.192:  Checking EC2 instance i-0ca63439.
2013/05/24 17:34:25 - 54.214.189.128:  Checking EC2 instance i-0ea6343b.
2013/05/24 17:34:25 - 54.244.131.31:   Checking EC2 instance i-08a6343d.
2013/05/24 17:34:25 - 54.245.133.6:    Checking EC2 instance i-0aa6343f.
2013/05/24 17:34:25 - 54.214.149.193:  Checking EC2 instance i-74a63441.
2013/05/24 17:34:25 - 54.214.193.211:  Checking EC2 instance i-76a63443.
2013/05/24 17:34:25 - 54.214.183.8:    Checking EC2 instance i-70a63445.
2013/05/24 17:34:25 - 54.214.74.196:   Checking EC2 instance i-72a63447.
2013/05/24 17:34:25 - 54.245.41.132:   Checking EC2 instance i-7ca63449.
2013/05/24 17:34:25 - 54.244.215.53:   Checking EC2 instance i-7ea6344b.
2013/05/24 17:34:25 - 54.214.171.74:   Checking EC2 instance i-78a6344d.
2013/05/24 17:34:25 - 54.244.186.40:   Checking EC2 instance i-7aa6344f.
2013/05/24 17:34:25 - 54.214.77.164:   Checking EC2 instance i-64a63451.
2013/05/24 17:34:25 - 54.214.143.26:   Checking EC2 instance i-66a63453.
2013/05/24 17:34:25 - 54.244.158.152:  Checking EC2 instance i-60a63455.
2013/05/24 17:34:25 - 50.112.16.167:   Checking EC2 instance i-62a63457.
2013/05/24 17:34:25 - 54.214.180.205:  Checking EC2 instance i-6ca63459.
2013/05/24 17:34:26 - 54.214.193.164:  Checking EC2 instance i-6ea6345b.
2013/05/24 17:34:26 - 54.214.168.217:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.168.217:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.64.205:   Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.64.205:   Connecting via SSH.
2013/05/24 17:34:26 - 50.112.208.146:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 50.112.208.146:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.149.193:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.149.193:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.180.205:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.180.205:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.193.211:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.193.211:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.74.196:   Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.74.196:   Connecting via SSH.
2013/05/24 17:34:26 - 54.245.133.6:    Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.245.133.6:    Connecting via SSH.
2013/05/24 17:34:26 - 54.214.144.192:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.144.192:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.143.26:   Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.143.26:   Connecting via SSH.
2013/05/24 17:34:26 - 54.244.131.31:   Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.244.131.31:   Connecting via SSH.
2013/05/24 17:34:26 - 54.245.153.228:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.245.153.228:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.183.8:    Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.183.8:    Connecting via SSH.
