2012/02/10 17:16:11 - Connecting to AWS region us-west-2.
2012/02/10 17:16:11 - Calculating new unique cluster name for request 121.
2012/02/10 17:16:13 - Creating new cluster name, Thor-K93V.
2012/02/10 17:16:13 - Creating Thor-K93V security group.
2012/02/10 17:16:17 - Creating Thor-K93V key pair.
2012/02/10 17:16:17 - Launching 5 m1.large nodes using ami-1c78f52c.
2012/02/10 17:16:18 - Reservation ID r-44420774 created.
2012/02/10 17:16:18 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:25 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:31 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:37 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:44 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:50 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:03 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:09 - Waiting for 2 of 5 nodes to launch.
2012/02/10 17:17:14 - Pending instances have completed.
2012/02/10 17:17:14 - Checking each node launched properly.
2012/02/10 17:17:14 - 50.112.43.129:   Checking EC2 instance i-96adeea6.
2012/02/10 17:17:14 - 50.112.46.132:   Checking EC2 instance i-98adeea8.
2012/02/10 17:17:14 - 50.112.50.153:   Checking EC2 instance i-9aadeeaa.
2012/02/10 17:17:14 - 50.112.18.70:    Checking EC2 instance i-9eadeeae.
2012/02/10 17:17:14 - 50.112.40.126:   Checking EC2 instance i-9cadeeac.
2012/02/10 17:17:15 - 50.112.50.153:   Checking EC2 instance is running.
2012/02/10 17:17:15 - 50.112.50.153:   Connecting via SSH.
2012/02/10 17:17:15 - 50.112.43.129:   Checking EC2 instance is running.
2012/02/10 17:17:15 - 50.112.43.129:   Connecting via SSH.
2012/02/10 17:17:15 - 50.112.40.126:   Checking EC2 instance is running.
2012/02/10 17:17:15 - 50.112.18.70:    Checking EC2 instance is running.
2012/02/10 17:17:15 - 50.112.18.70:    Connecting via SSH.
2012/02/10 17:17:15 - 50.112.40.126:   Connecting via SSH.
2012/02/10 17:17:15 - 50.112.46.132:   Checking EC2 instance is running.
2012/02/10 17:17:15 - 50.112.46.132:   Connecting via SSH.
2012/02/10 17:17:15 - 50.112.40.126:   Waiting on SSH connection.
2012/02/10 17:17:16 - 50.112.43.129:   Waiting on SSH connection.
2012/02/10 17:17:20 - 50.112.46.132:   Checking software installation completed.
2012/02/10 17:17:20 - 50.112.50.153:   Checking software installation completed.
2012/02/10 17:17:20 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:17:20 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:17:21 - 50.112.18.70:    Checking software installation completed.
2012/02/10 17:17:21 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:17:24 - 50.112.40.126:   Checking software installation completed.
2012/02/10 17:17:25 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:17:26 - 50.112.43.129:   Checking software installation completed.
2012/02/10 17:17:27 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:17:30 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:17:30 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:17:31 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:17:35 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:17:37 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:17:41 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:17:41 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:17:42 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:17:45 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:17:47 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:17:51 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:17:51 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:17:52 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:17:56 - 50.112.40.126:   Waiting for software to install.
