2012/02/17 15:21:19 - Connecting to AWS region us-west-2.
2012/02/17 15:21:19 - Calculating new unique cluster name for request 147.
2012/02/17 15:21:20 - Creating new cluster name, Thor-PDJT.
2012/02/17 15:21:20 - Creating Thor-PDJT security group.
2012/02/17 15:21:24 - Creating Thor-PDJT key pair.
2012/02/17 15:21:25 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/17 15:21:25 - Reservation ID r-601a5b50 created.
2012/02/17 15:21:25 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:34 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:42 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:50 - Waiting for 10 of 11 nodes to launch.
2012/02/17 15:21:57 - Waiting for 1 of 11 nodes to launch.
2012/02/17 15:22:03 - Waiting for 1 of 11 nodes to launch.
2012/02/17 15:22:08 - Pending instances have completed.
2012/02/17 15:22:08 - Checking each node launched properly.
2012/02/17 15:22:08 - 50.112.56.107:   Checking EC2 instance i-ccf3bcfc.
2012/02/17 15:22:08 - 50.112.34.179:   Checking EC2 instance i-cef3bcfe.
2012/02/17 15:22:08 - 50.112.22.225:   Checking EC2 instance i-30f2bd00.
2012/02/17 15:22:08 - 50.112.6.179:    Checking EC2 instance i-32f2bd02.
2012/02/17 15:22:08 - 50.112.21.152:   Checking EC2 instance i-34f2bd04.
2012/02/17 15:22:08 - 50.112.48.31:    Checking EC2 instance i-36f2bd06.
2012/02/17 15:22:08 - 50.112.16.60:    Checking EC2 instance i-38f2bd08.
2012/02/17 15:22:08 - 50.112.51.122:   Checking EC2 instance i-3af2bd0a.
2012/02/17 15:22:08 - 50.112.49.228:   Checking EC2 instance i-3cf2bd0c.
2012/02/17 15:22:08 - 50.112.47.92:    Checking EC2 instance i-3ef2bd0e.
2012/02/17 15:22:08 - 50.112.33.22:    Checking EC2 instance i-20f2bd10.
2012/02/17 15:22:09 - 50.112.56.107:   Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.56.107:   Connecting via SSH.
2012/02/17 15:22:09 - 50.112.51.122:   Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.51.122:   Connecting via SSH.
2012/02/17 15:22:09 - 50.112.21.152:   Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.21.152:   Connecting via SSH.
2012/02/17 15:22:09 - 50.112.49.228:   Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.49.228:   Connecting via SSH.
2012/02/17 15:22:09 - 50.112.16.60:    Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.16.60:    Connecting via SSH.
2012/02/17 15:22:09 - 50.112.22.225:   Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.22.225:   Connecting via SSH.
2012/02/17 15:22:09 - 50.112.6.179:    Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.6.179:    Connecting via SSH.
2012/02/17 15:22:09 - 50.112.48.31:    Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.48.31:    Connecting via SSH.
2012/02/17 15:22:09 - 50.112.34.179:   Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.34.179:   Connecting via SSH.
2012/02/17 15:22:09 - 50.112.47.92:    Checking EC2 instance is running.
2012/02/17 15:22:09 - 50.112.47.92:    Connecting via SSH.
2012/02/17 15:22:09 - 50.112.48.31:    Waiting on SSH connection.
2012/02/17 15:22:10 - 50.112.33.22:    Checking EC2 instance is running.
2012/02/17 15:22:10 - 50.112.33.22:    Connecting via SSH.
2012/02/17 15:22:12 - 50.112.49.228:   Checking software installation completed.
2012/02/17 15:22:13 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:22:13 - 50.112.56.107:   Checking software installation completed.
2012/02/17 15:22:13 - 50.112.47.92:    Checking software installation completed.
2012/02/17 15:22:13 - 50.112.21.152:   Checking software installation completed.
2012/02/17 15:22:13 - 50.112.51.122:   Checking software installation completed.
2012/02/17 15:22:13 - 50.112.56.107:   Waiting for software to install.
2012/02/17 15:22:13 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:22:13 - 50.112.21.152:   Waiting for software to install.
2012/02/17 15:22:13 - 50.112.47.92:    Waiting for software to install.
2012/02/17 15:22:14 - 50.112.6.179:    Checking software installation completed.
2012/02/17 15:22:14 - 50.112.22.225:   Checking software installation completed.
2012/02/17 15:22:14 - 50.112.6.179:    Waiting for software to install.
2012/02/17 15:22:14 - 50.112.22.225:   Waiting for software to install.
2012/02/17 15:22:14 - 50.112.33.22:    Checking software installation completed.
2012/02/17 15:22:14 - 50.112.16.60:    Checking software installation completed.
2012/02/17 15:22:14 - 50.112.34.179:   Checking software installation completed.
2012/02/17 15:22:14 - 50.112.33.22:    Waiting for software to install.
2012/02/17 15:22:14 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:22:14 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:22:19 - 50.112.48.31:    Checking software installation completed.
2012/02/17 15:22:19 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:22:23 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:22:24 - 50.112.56.107:   Waiting for software to install.
2012/02/17 15:22:24 - 50.112.21.152:   Waiting for software to install.
2012/02/17 15:22:24 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:22:24 - 50.112.47.92:    Waiting for software to install.
2012/02/17 15:22:24 - 50.112.6.179:    Waiting for software to install.
2012/02/17 15:22:24 - 50.112.22.225:   Waiting for software to install.
2012/02/17 15:22:24 - 50.112.33.22:    Waiting for software to install.
2012/02/17 15:22:24 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:22:25 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:22:30 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:22:33 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:22:34 - 50.112.56.107:   Waiting for software to install.
2012/02/17 15:22:34 - 50.112.21.152:   Waiting for software to install.
2012/02/17 15:22:34 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:22:34 - 50.112.47.92:    Waiting for software to install.
2012/02/17 15:22:34 - 50.112.6.179:    Waiting for software to install.
2012/02/17 15:22:34 - 50.112.22.225:   Waiting for software to install.
2012/02/17 15:22:35 - 50.112.33.22:    Waiting for software to install.
2012/02/17 15:22:35 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:22:35 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:22:40 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:22:43 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.56.107:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.21.152:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.47.92:    Waiting for software to install.
2012/02/17 15:22:45 - 50.112.6.179:    Waiting for software to install.
2012/02/17 15:22:45 - 50.112.22.225:   Waiting for software to install.
