2012/02/24 14:12:39 - Connecting to AWS region us-west-2.
2012/02/24 14:12:39 - Calculating new unique cluster name for request 155.
2012/02/24 14:12:40 - Creating new cluster name, Thor-3WZ6.
2012/02/24 14:12:40 - Creating Thor-3WZ6 security group.
2012/02/24 14:12:43 - Creating Thor-3WZ6 key pair.
2012/02/24 14:12:44 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/24 14:12:45 - Reservation ID r-905419a0 created.
2012/02/24 14:12:45 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:12:53 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:01 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:09 - Waiting for 10 of 11 nodes to launch.
2012/02/24 14:13:17 - Waiting for 1 of 11 nodes to launch.
2012/02/24 14:13:22 - Pending instances have completed.
2012/02/24 14:13:22 - Checking each node launched properly.
2012/02/24 14:13:22 - 50.112.20.200:   Checking EC2 instance i-54a4ee64.
2012/02/24 14:13:22 - 50.112.46.29:    Checking EC2 instance i-56a4ee66.
2012/02/24 14:13:22 - 50.112.5.108:    Checking EC2 instance i-58a4ee68.
2012/02/24 14:13:22 - 50.112.16.56:    Checking EC2 instance i-5aa4ee6a.
2012/02/24 14:13:22 - 50.112.5.127:    Checking EC2 instance i-5ca4ee6c.
2012/02/24 14:13:22 - 50.112.29.140:   Checking EC2 instance i-5ea4ee6e.
2012/02/24 14:13:22 - 50.112.46.215:   Checking EC2 instance i-40a4ee70.
2012/02/24 14:13:22 - 50.112.49.97:    Checking EC2 instance i-42a4ee72.
2012/02/24 14:13:22 - 50.112.29.209:   Checking EC2 instance i-44a4ee74.
2012/02/24 14:13:22 - 50.112.51.239:   Checking EC2 instance i-46a4ee76.
2012/02/24 14:13:22 - 50.112.55.63:    Checking EC2 instance i-48a4ee78.
2012/02/24 14:13:23 - 50.112.20.200:   Checking EC2 instance is running.
2012/02/24 14:13:23 - 50.112.20.200:   Connecting via SSH.
2012/02/24 14:13:23 - 50.112.49.97:    Checking EC2 instance is running.
2012/02/24 14:13:23 - 50.112.49.97:    Connecting via SSH.
2012/02/24 14:13:23 - 50.112.46.29:    Checking EC2 instance is running.
2012/02/24 14:13:23 - 50.112.46.29:    Connecting via SSH.
2012/02/24 14:13:23 - 50.112.5.127:    Checking EC2 instance is running.
2012/02/24 14:13:23 - 50.112.16.56:    Checking EC2 instance is running.
2012/02/24 14:13:23 - 50.112.16.56:    Connecting via SSH.
2012/02/24 14:13:23 - 50.112.5.127:    Connecting via SSH.
