2014/06/17 15:39:24 - Connecting to AWS region us-west-2.
2014/06/17 15:39:24 - Calculating new unique cluster name for request 819.
2014/06/17 15:39:25 - Creating new cluster name, Hpcc-5SB4.
2014/06/17 15:39:25 - Creating Hpcc-5SB4 security group.
2014/06/17 15:39:27 - Creating Hpcc-5SB4 key pair.
2014/06/17 15:39:29 - Launching 20 m1.large nodes using ami-2aadc71a.
2014/06/17 15:39:30 - Reservation ID r-32837139 created.
2014/06/17 15:39:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:38 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:45 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:53 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:00 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:07 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:15 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:22 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:37 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:45 - Waiting for 17 of 20 nodes to launch.
2014/06/17 15:40:53 - Waiting for 1 of 20 nodes to launch.
2014/06/17 15:40:58 - Pending instances have completed.
2014/06/17 15:40:58 - Checking each node launched properly.
2014/06/17 15:40:58 - 54.185.206.134:  Checking EC2 instance i-03c16e08.
2014/06/17 15:40:58 - 54.188.41.161:   Checking EC2 instance i-02c16e09.
2014/06/17 15:40:58 - 54.189.71.159:   Checking EC2 instance i-01c16e0a.
2014/06/17 15:40:58 - 54.202.0.103:    Checking EC2 instance i-00c16e0b.
2014/06/17 15:40:58 - 54.188.183.179:  Checking EC2 instance i-07c16e0c.
2014/06/17 15:40:58 - 54.203.4.97:     Checking EC2 instance i-06c16e0d.
2014/06/17 15:40:58 - 54.218.218.172:  Checking EC2 instance i-05c16e0e.
2014/06/17 15:40:58 - 54.218.201.135:  Checking EC2 instance i-04c16e0f.
2014/06/17 15:40:58 - 54.189.149.232:  Checking EC2 instance i-3bc16e30.
2014/06/17 15:40:58 - 50.112.70.229:   Checking EC2 instance i-3ac16e31.
2014/06/17 15:40:58 - 54.184.235.119:  Checking EC2 instance i-39c16e32.
2014/06/17 15:40:58 - 54.203.199.248:  Checking EC2 instance i-38c16e33.
2014/06/17 15:40:58 - 54.214.83.219:   Checking EC2 instance i-3fc16e34.
2014/06/17 15:40:58 - 54.184.120.132:  Checking EC2 instance i-3ec16e35.
2014/06/17 15:40:58 - 54.245.171.196:  Checking EC2 instance i-3dc16e36.
2014/06/17 15:40:58 - 54.245.217.125:  Checking EC2 instance i-3cc16e37.
2014/06/17 15:40:58 - 54.203.171.125:  Checking EC2 instance i-37c16e3c.
2014/06/17 15:40:58 - 54.184.163.106:  Checking EC2 instance i-36c16e3d.
2014/06/17 15:40:58 - 50.112.9.194:    Checking EC2 instance i-35c16e3e.
2014/06/17 15:40:58 - 54.203.42.217:   Checking EC2 instance i-34c16e3f.
2014/06/17 15:40:58 - 54.189.71.159:   Checking EC2 instance is running.
2014/06/17 15:40:58 - 54.189.71.159:   Connecting via SSH.
2014/06/17 15:40:59 - 54.184.163.106:  Checking EC2 instance is running.
2014/06/17 15:40:59 - 54.184.163.106:  Connecting via SSH.
2014/06/17 15:40:59 - 54.188.183.179:  Checking EC2 instance is running.
2014/06/17 15:40:59 - 54.188.183.179:  Connecting via SSH.
