2014/07/28 16:55:27 - Connecting to AWS region us-west-2.
2014/07/28 16:55:27 - Calculating new unique cluster name for request 882.
2014/07/28 16:55:27 - Creating new cluster name, Hpcc-ED54.
2014/07/28 16:55:27 - Creating Hpcc-ED54 security group.
2014/07/28 16:55:30 - Creating Hpcc-ED54 key pair.
2014/07/28 16:55:31 - Launching 10 m1.large nodes using ami-2aadc71a.
2014/07/28 16:55:32 - Reservation ID r-e20ca0e9 created.
2014/07/28 16:55:32 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:55:40 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:55:46 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:55:52 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:55:59 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:05 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:11 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:18 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:24 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:31 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:37 - Waiting for 10 of 10 nodes to launch.
2014/07/28 16:56:44 - Waiting for 8 of 10 nodes to launch.
2014/07/28 16:56:51 - Waiting for 2 of 10 nodes to launch.
2014/07/28 16:56:56 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:01 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:06 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:11 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:17 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:22 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:27 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:32 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:37 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:42 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:48 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:53 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:57:58 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:58:03 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:58:08 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:58:14 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:58:19 - Waiting for 1 of 10 nodes to launch.
2014/07/28 16:58:24 - Pending instances have completed.
2014/07/28 16:58:24 - Checking each node launched properly.
2014/07/28 16:58:24 - 54.200.8.114:    Checking EC2 instance i-0b305900.
2014/07/28 16:58:24 - 54.200.17.25:    Checking EC2 instance i-0a305901.
2014/07/28 16:58:24 - 54.200.16.187:   Checking EC2 instance i-09305902.
2014/07/28 16:58:24 - 54.200.17.53:    Checking EC2 instance i-08305903.
2014/07/28 16:58:24 - 54.200.16.216:   Checking EC2 instance i-0f305904.
2014/07/28 16:58:24 - 54.200.16.212:   Checking EC2 instance i-0e305905.
2014/07/28 16:58:24 - 54.200.17.4:     Checking EC2 instance i-0d305906.
2014/07/28 16:58:24 - 54.200.16.178:   Checking EC2 instance i-0630590d.
2014/07/28 16:58:24 - 54.200.17.44:    Checking EC2 instance i-0530590e.
2014/07/28 16:58:24 - 54.200.16.164:   Checking EC2 instance i-0430590f.
2014/07/28 16:58:24 - 54.200.17.25:    Checking EC2 instance is running.
2014/07/28 16:58:24 - 54.200.17.25:    Connecting via SSH.
2014/07/28 16:58:25 - 54.200.17.44:    Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.17.44:    Connecting via SSH.
2014/07/28 16:58:25 - 54.200.17.53:    Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.17.53:    Connecting via SSH.
2014/07/28 16:58:25 - 54.200.16.212:   Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.16.212:   Connecting via SSH.
2014/07/28 16:58:25 - 54.200.17.4:     Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.17.4:     Connecting via SSH.
2014/07/28 16:58:25 - 54.200.16.164:   Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.16.164:   Connecting via SSH.
2014/07/28 16:58:25 - 54.200.16.178:   Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.16.178:   Connecting via SSH.
2014/07/28 16:58:25 - 54.200.16.216:   Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.16.216:   Connecting via SSH.
2014/07/28 16:58:25 - 54.200.16.187:   Checking EC2 instance is running.
2014/07/28 16:58:25 - 54.200.16.187:   Connecting via SSH.
2014/07/28 16:58:26 - 54.200.8.114:    Checking EC2 instance is running.
2014/07/28 16:58:26 - 54.200.8.114:    Connecting via SSH.
2014/07/28 16:58:30 - 54.200.17.25:    Checking software installation completed.
2014/07/28 16:58:31 - 54.200.16.212:   Checking software installation completed.
2014/07/28 16:58:31 - 54.200.17.4:     Checking software installation completed.
2014/07/28 16:58:31 - 54.200.17.25:    Software installation finished.
2014/07/28 16:58:31 - 54.200.17.25:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/28 16:58:31 - 54.200.16.187:   Checking software installation completed.
2014/07/28 16:58:31 - 54.200.16.216:   Checking software installation completed.
