2013/09/19 16:44:10 - Connecting to AWS region us-west-2.
2013/09/19 16:44:10 - Calculating new unique cluster name for request 693.
2013/09/19 16:44:11 - Creating new cluster name, Hpcc-3CSR.
2013/09/19 16:44:11 - Creating Hpcc-3CSR security group.
2013/09/19 16:44:14 - Creating Hpcc-3CSR key pair.
2013/09/19 16:44:15 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/19 16:44:16 - Reservation ID r-d9d792ed created.
2013/09/19 16:44:16 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:26 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:35 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:44 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:53 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:01 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:10 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:19 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:28 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:37 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:46 - Waiting for 3 of 18 nodes to launch.
2013/09/19 16:45:52 - Pending instances have completed.
2013/09/19 16:45:52 - Checking each node launched properly.
2013/09/19 16:45:52 - 54.202.23.4:     Checking EC2 instance i-d5a197e1.
2013/09/19 16:45:52 - 54.218.131.175:  Checking EC2 instance i-c4a197f0.
2013/09/19 16:45:52 - 54.212.153.58:   Checking EC2 instance i-c5a197f1.
2013/09/19 16:45:52 - 54.214.100.206:  Checking EC2 instance i-c6a197f2.
2013/09/19 16:45:52 - 54.245.162.196:  Checking EC2 instance i-c7a197f3.
2013/09/19 16:45:52 - 54.214.115.219:  Checking EC2 instance i-c0a197f4.
2013/09/19 16:45:52 - 54.214.169.236:  Checking EC2 instance i-c1a197f5.
2013/09/19 16:45:52 - 50.112.3.239:    Checking EC2 instance i-c2a197f6.
2013/09/19 16:45:52 - 54.218.167.120:  Checking EC2 instance i-c3a197f7.
2013/09/19 16:45:52 - 54.212.207.13:   Checking EC2 instance i-cca197f8.
2013/09/19 16:45:52 - 50.112.204.51:   Checking EC2 instance i-cda197f9.
2013/09/19 16:45:52 - 54.214.117.232:  Checking EC2 instance i-cea197fa.
2013/09/19 16:45:52 - 54.245.30.222:   Checking EC2 instance i-cfa197fb.
2013/09/19 16:45:52 - 50.112.80.181:   Checking EC2 instance i-c8a197fc.
2013/09/19 16:45:52 - 54.245.195.181:  Checking EC2 instance i-c9a197fd.
2013/09/19 16:45:52 - 50.112.13.105:   Checking EC2 instance i-caa197fe.
2013/09/19 16:45:52 - 54.214.181.127:  Checking EC2 instance i-cba197ff.
2013/09/19 16:45:52 - 54.218.155.98:   Checking EC2 instance i-9aa406ad.
2013/09/19 16:45:53 - 54.202.23.4:     Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.202.23.4:     Connecting via SSH.
2013/09/19 16:45:53 - 54.214.115.219:  Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.214.115.219:  Connecting via SSH.
2013/09/19 16:45:53 - 54.214.169.236:  Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.214.117.232:  Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.214.169.236:  Connecting via SSH.
2013/09/19 16:45:53 - 54.214.117.232:  Connecting via SSH.
2013/09/19 16:45:53 - 54.245.195.181:  Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.245.195.181:  Connecting via SSH.
2013/09/19 16:45:53 - 50.112.204.51:   Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.214.181.127:  Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.212.207.13:   Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.218.131.175:  Checking EC2 instance is running.
2013/09/19 16:45:53 - 54.218.131.175:  Connecting via SSH.
2013/09/19 16:45:53 - 50.112.204.51:   Connecting via SSH.
2013/09/19 16:45:53 - 54.212.207.13:   Connecting via SSH.
2013/09/19 16:45:53 - 54.214.100.206:  Checking EC2 instance is running.
