2013/09/25 17:56:42 - Connecting to AWS region us-west-2.
2013/09/25 17:56:42 - Calculating new unique cluster name for request 705.
2013/09/25 17:56:43 - Creating new cluster name, Hpcc-3YZU.
2013/09/25 17:56:43 - Creating Hpcc-3YZU security group.
2013/09/25 17:56:46 - Creating Hpcc-3YZU key pair.
2013/09/25 17:56:47 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/25 17:56:48 - Reservation ID r-c5b00cf1 created.
2013/09/25 17:56:48 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:56:58 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:07 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:16 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:24 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:34 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:42 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:52 - Waiting for 17 of 18 nodes to launch.
2013/09/25 17:58:01 - Waiting for 16 of 18 nodes to launch.
2013/09/25 17:58:10 - Pending instances have completed.
2013/09/25 17:58:10 - Checking each node launched properly.
2013/09/25 17:58:10 - 54.245.76.148:   Checking EC2 instance i-921df2a5.
2013/09/25 17:58:10 - 50.112.21.119:   Checking EC2 instance i-fb1df2cc.
2013/09/25 17:58:10 - 54.202.21.246:   Checking EC2 instance i-e71df2d0.
2013/09/25 17:58:10 - 54.212.211.56:   Checking EC2 instance i-e61df2d1.
2013/09/25 17:58:10 - 54.214.98.238:   Checking EC2 instance i-e51df2d2.
2013/09/25 17:58:10 - 54.245.55.3:     Checking EC2 instance i-e41df2d3.
2013/09/25 17:58:10 - 54.214.91.143:   Checking EC2 instance i-e31df2d4.
2013/09/25 17:58:10 - 54.202.63.129:   Checking EC2 instance i-e21df2d5.
2013/09/25 17:58:10 - 54.202.55.55:    Checking EC2 instance i-e11df2d6.
2013/09/25 17:58:10 - 54.202.6.209:    Checking EC2 instance i-e01df2d7.
2013/09/25 17:58:10 - 54.202.77.13:    Checking EC2 instance i-ef1df2d8.
2013/09/25 17:58:10 - 54.214.97.140:   Checking EC2 instance i-ee1df2d9.
2013/09/25 17:58:10 - 50.112.22.71:    Checking EC2 instance i-ed1df2da.
2013/09/25 17:58:10 - 54.245.145.229:  Checking EC2 instance i-ec1df2db.
2013/09/25 17:58:10 - 54.214.177.183:  Checking EC2 instance i-eb1df2dc.
2013/09/25 17:58:10 - 54.214.190.105:  Checking EC2 instance i-ea1df2dd.
2013/09/25 17:58:10 - 54.202.45.63:    Checking EC2 instance i-e91df2de.
2013/09/25 17:58:10 - 54.245.149.242:  Checking EC2 instance i-e81df2df.
2013/09/25 17:58:11 - 54.245.76.148:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.245.76.148:   Connecting via SSH.
2013/09/25 17:58:11 - 54.202.6.209:    Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.202.6.209:    Connecting via SSH.
2013/09/25 17:58:11 - 54.245.145.229:  Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.245.145.229:  Connecting via SSH.
2013/09/25 17:58:11 - 54.214.97.140:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.214.97.140:   Connecting via SSH.
2013/09/25 17:58:11 - 50.112.22.71:    Checking EC2 instance is running.
2013/09/25 17:58:11 - 50.112.22.71:    Connecting via SSH.
2013/09/25 17:58:11 - 54.202.45.63:    Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.202.45.63:    Connecting via SSH.
2013/09/25 17:58:11 - 54.202.63.129:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.202.63.129:   Connecting via SSH.
2013/09/25 17:58:11 - 54.202.77.13:    Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.202.77.13:    Connecting via SSH.
2013/09/25 17:58:11 - 54.202.55.55:    Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.202.55.55:    Connecting via SSH.
2013/09/25 17:58:11 - 54.214.91.143:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.214.91.143:   Connecting via SSH.
2013/09/25 17:58:11 - 54.214.177.183:  Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.214.177.183:  Connecting via SSH.
2013/09/25 17:58:11 - 54.245.55.3:     Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.245.55.3:     Connecting via SSH.
2013/09/25 17:58:11 - 54.202.21.246:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.202.21.246:   Connecting via SSH.
2013/09/25 17:58:11 - 54.212.211.56:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.212.211.56:   Connecting via SSH.
2013/09/25 17:58:11 - 54.245.149.242:  Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.245.149.242:  Connecting via SSH.
2013/09/25 17:58:11 - 54.214.190.105:  Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.214.190.105:  Connecting via SSH.
2013/09/25 17:58:11 - 54.214.98.238:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 54.214.98.238:   Connecting via SSH.
2013/09/25 17:58:11 - 54.245.145.229:  Waiting on SSH connection.
2013/09/25 17:58:11 - 50.112.21.119:   Checking EC2 instance is running.
2013/09/25 17:58:11 - 50.112.21.119:   Connecting via SSH.
2013/09/25 17:58:11 - 54.202.55.55:    Waiting on SSH connection.
2013/09/25 17:58:11 - 54.245.55.3:     Waiting on SSH connection.
2013/09/25 17:58:13 - 54.202.6.209:    Waiting on SSH connection.
2013/09/25 17:58:13 - 54.202.63.129:   Waiting on SSH connection.
2013/09/25 17:58:13 - 50.112.21.119:   Checking software installation completed.
2013/09/25 17:58:14 - 54.214.190.105:  Checking software installation completed.
2013/09/25 17:58:14 - 50.112.22.71:    Checking software installation completed.
2013/09/25 17:58:14 - 50.112.21.119:   Waiting for software to install.
2013/09/25 17:58:14 - 54.214.190.105:  Waiting for software to install.
2013/09/25 17:58:14 - 54.214.177.183:  Checking software installation completed.
2013/09/25 17:58:14 - 50.112.22.71:    Waiting for software to install.
2013/09/25 17:58:14 - 54.214.177.183:  Waiting for software to install.
2013/09/25 17:58:18 - 54.212.211.56:   Checking software installation completed.
2013/09/25 17:58:18 - 54.202.77.13:    Checking software installation completed.
2013/09/25 17:58:18 - 54.245.76.148:   Checking software installation completed.
2013/09/25 17:58:18 - 54.245.55.3:     Checking software installation completed.
2013/09/25 17:58:18 - 54.212.211.56:   Software installation finished.
2013/09/25 17:58:18 - 54.212.211.56:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:18 - 54.202.45.63:    Checking software installation completed.
2013/09/25 17:58:18 - 54.202.77.13:    Software installation finished.
