2012/01/31 18:02:03 - Connecting to AWS region us-east-1.
2012/01/31 18:02:03 - Calculating new unique cluster name for request 62.
2012/01/31 18:02:03 - Creating new cluster name, Thor-8CKU.
2012/01/31 18:02:03 - Creating Thor-8CKU security group.
2012/01/31 18:02:05 - Creating Thor-8CKU key pair.
2012/01/31 18:02:06 - Launching 255 m1.large nodes using ami-fbbf7892.
2012/01/31 18:02:13 - Reservation ID r-eece358e created
2012/01/31 18:02:13 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:02:41 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:02:59 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:03:26 - Waiting for 203 of 255 nodes to launch.
2012/01/31 18:03:50 - Waiting for 33 of 255 nodes to launch.
2012/01/31 18:03:57 - Waiting for 9 of 255 nodes to launch.
2012/01/31 18:04:03 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:08 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:14 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:19 - Waiting for 4 of 255 nodes to launch.
2012/01/31 18:04:24 - Waiting for 3 of 255 nodes to launch.
2012/01/31 18:04:30 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:35 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:40 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:45 - Pending instances have completed.
2012/01/31 18:04:45 - Checking each node launched properly.
2012/01/31 18:04:45 - 184.73.60.110:   Checking EC2 instance i-b3b611d6.
2012/01/31 18:04:45 - 107.20.119.151:  Checking EC2 instance i-bdb611d8.
2012/01/31 18:04:45 - 50.17.3.55:      Checking EC2 instance i-bfb611da.
2012/01/31 18:04:45 - 107.21.179.226:  Checking EC2 instance i-b9b611dc.
2012/01/31 18:04:45 - 23.20.39.61:     Checking EC2 instance i-bbb611de.
2012/01/31 18:04:45 - 107.20.32.130:   Checking EC2 instance i-85b611e0.
2012/01/31 18:04:45 - 184.73.4.9:      Checking EC2 instance i-81b611e4.
2012/01/31 18:04:45 - 50.17.53.240:    Checking EC2 instance i-83b611e6.
2012/01/31 18:04:45 - 107.21.155.93:   Checking EC2 instance i-8db611e8.
2012/01/31 18:04:45 - 23.20.30.146:    Checking EC2 instance i-8fb611ea.
2012/01/31 18:04:45 - 107.22.44.176:   Checking EC2 instance i-89b611ec.
2012/01/31 18:04:45 - 50.17.154.158:   Checking EC2 instance i-8bb611ee.
2012/01/31 18:04:45 - 107.22.7.117:    Checking EC2 instance i-95b611f0.
2012/01/31 18:04:45 - 184.73.70.153:   Checking EC2 instance i-97b611f2.
2012/01/31 18:04:45 - 107.22.58.66:    Checking EC2 instance i-91b611f4.
2012/01/31 18:04:45 - 174.129.121.132: Checking EC2 instance i-93b611f6.
2012/01/31 18:04:45 - 174.129.103.248: Checking EC2 instance i-9db611f8.
2012/01/31 18:04:45 - 50.16.98.109:    Checking EC2 instance i-9fb611fa.
2012/01/31 18:04:45 - 50.17.55.6:      Checking EC2 instance i-99b611fc.
2012/01/31 18:04:45 - 50.16.44.124:    Checking EC2 instance i-9bb611fe.
2012/01/31 18:04:45 - 50.16.179.129:   Checking EC2 instance i-65b51200.
2012/01/31 18:04:45 - 107.22.133.211:  Checking EC2 instance i-67b51202.
2012/01/31 18:04:45 - 50.16.74.80:     Checking EC2 instance i-61b51204.
2012/01/31 18:04:45 - 107.21.195.179:  Checking EC2 instance i-63b51206.
2012/01/31 18:04:45 - 50.16.169.64:    Checking EC2 instance i-6db51208.
2012/01/31 18:04:45 - 184.73.4.9:      Checking EC2 instance is running.
2012/01/31 18:04:45 - 50.17.3.55:      Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.17.3.55:      Connecting via SSH.
2012/01/31 18:04:46 - 23.20.39.61:     Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.20.119.151:  Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.20.119.151:  Connecting via SSH.
2012/01/31 18:04:46 - 184.73.4.9:      Connecting via SSH.
2012/01/31 18:04:46 - 23.20.39.61:     Connecting via SSH.
2012/01/31 18:04:46 - 107.21.179.226:  Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.21.179.226:  Connecting via SSH.
2012/01/31 18:04:46 - 107.22.44.176:   Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.22.44.176:   Connecting via SSH.
2012/01/31 18:04:46 - 50.17.53.240:    Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.17.53.240:    Connecting via SSH.
2012/01/31 18:04:46 - 23.20.30.146:    Checking EC2 instance is running.
2012/01/31 18:04:46 - 23.20.30.146:    Connecting via SSH.
2012/01/31 18:04:46 - 184.73.60.110:   Checking EC2 instance is running.
2012/01/31 18:04:46 - 184.73.60.110:   Connecting via SSH.
2012/01/31 18:04:46 - 107.21.195.179:  Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.21.195.179:  Connecting via SSH.
2012/01/31 18:04:46 - 107.22.7.117:    Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.22.7.117:    Connecting via SSH.
2012/01/31 18:04:46 - 184.73.70.153:   Checking EC2 instance is running.
2012/01/31 18:04:46 - 184.73.70.153:   Connecting via SSH.
2012/01/31 18:04:46 - 107.22.133.211:  Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.22.133.211:  Connecting via SSH.
2012/01/31 18:04:46 - 107.20.32.130:   Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.20.32.130:   Connecting via SSH.
2012/01/31 18:04:46 - 50.16.179.129:   Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.16.179.129:   Connecting via SSH.
2012/01/31 18:04:46 - 50.16.169.64:    Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.16.169.64:    Connecting via SSH.
2012/01/31 18:04:46 - 50.16.98.109:    Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.16.98.109:    Connecting via SSH.
2012/01/31 18:04:46 - 174.129.121.132: Checking EC2 instance is running.
2012/01/31 18:04:46 - 174.129.121.132: Connecting via SSH.
2012/01/31 18:04:46 - 50.17.55.6:      Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.17.55.6:      Connecting via SSH.
2012/01/31 18:04:46 - 50.16.74.80:     Checking EC2 instance is running.
2012/01/31 18:04:46 - 50.16.74.80:     Connecting via SSH.
2012/01/31 18:04:46 - 174.129.103.248: Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.22.58.66:    Checking EC2 instance is running.
2012/01/31 18:04:46 - 107.22.58.66:    Connecting via SSH.
2012/01/31 18:04:46 - 174.129.103.248: Connecting via SSH.
2012/01/31 18:04:47 - 107.21.155.93:   Checking EC2 instance is running.
2012/01/31 18:04:47 - 107.21.155.93:   Connecting via SSH.
2012/01/31 18:04:47 - 50.17.154.158:   Checking EC2 instance is running.
2012/01/31 18:04:47 - 50.16.44.124:    Checking EC2 instance is running.
2012/01/31 18:04:47 - 50.16.44.124:    Connecting via SSH.
2012/01/31 18:04:47 - 50.17.154.158:   Connecting via SSH.
2012/01/31 18:04:49 - 23.20.39.61:     Checking network mask is compatible.
2012/01/31 18:04:49 - 23.20.39.61:     Checking disk I/O
2012/01/31 18:04:49 - 23.20.39.61:     Checking software installation completed.
2012/01/31 18:04:49 - 23.20.39.61:     Waiting for software to install.
2012/01/31 18:04:49 - 107.20.119.151:  Checking network mask is compatible.
2012/01/31 18:04:49 - 107.20.119.151:  Checking disk I/O
2012/01/31 18:04:49 - 184.73.4.9:      Checking network mask is compatible.
2012/01/31 18:04:49 - 184.73.4.9:      Checking disk I/O
2012/01/31 18:04:49 - 50.17.53.240:    Checking network mask is compatible.
2012/01/31 18:04:49 - 50.17.53.240:    Checking disk I/O
2012/01/31 18:04:49 - 107.20.119.151:  Checking software installation completed.
2012/01/31 18:04:49 - 50.17.53.240:    Checking software installation completed.
2012/01/31 18:04:49 - 184.73.4.9:      Checking software installation completed.
2012/01/31 18:04:49 - 50.17.3.55:      Checking network mask is compatible.
2012/01/31 18:04:49 - 50.17.3.55:      Checking disk I/O
2012/01/31 18:04:49 - 50.17.53.240:    Waiting for software to install.
2012/01/31 18:04:49 - 107.21.179.226:  Checking network mask is compatible.
2012/01/31 18:04:49 - 107.21.179.226:  Checking disk I/O
2012/01/31 18:04:49 - 107.20.119.151:  Waiting for software to install.
2012/01/31 18:04:49 - 50.17.3.55:      Checking software installation completed.
2012/01/31 18:04:49 - 184.73.4.9:      Waiting for software to install.
2012/01/31 18:04:49 - 107.21.179.226:  Checking software installation completed.
2012/01/31 18:04:49 - 50.17.3.55:      Waiting for software to install.
2012/01/31 18:04:49 - 107.21.179.226:  Waiting for software to install.
2012/01/31 18:04:50 - 50.16.179.129:   Checking network mask is compatible.
2012/01/31 18:04:50 - 50.16.179.129:   Checking disk I/O
2012/01/31 18:04:50 - 50.16.179.129:   Checking software installation completed.
2012/01/31 18:04:50 - 50.16.179.129:   Waiting for software to install.
2012/01/31 18:04:50 - 50.17.55.6:      Checking network mask is compatible.
2012/01/31 18:04:50 - 50.17.55.6:      Checking disk I/O
2012/01/31 18:04:50 - 50.16.98.109:    Checking network mask is compatible.
2012/01/31 18:04:50 - 50.16.98.109:    Checking disk I/O
2012/01/31 18:04:50 - 50.17.55.6:      Checking software installation completed.
2012/01/31 18:04:50 - 107.22.58.66:    Checking network mask is compatible.
2012/01/31 18:04:50 - 107.22.58.66:    Checking disk I/O
2012/01/31 18:04:50 - 50.16.98.109:    Checking software installation completed.
2012/01/31 18:04:50 - 50.17.55.6:      Waiting for software to install.
2012/01/31 18:04:50 - 107.22.58.66:    Checking software installation completed.
2012/01/31 18:04:50 - 107.20.32.130:   Checking network mask is compatible.
2012/01/31 18:04:50 - 107.20.32.130:   Checking disk I/O
2012/01/31 18:04:50 - 50.16.98.109:    Waiting for software to install.
2012/01/31 18:04:50 - 107.22.58.66:    Waiting for software to install.
2012/01/31 18:04:50 - 23.20.30.146:    Checking network mask is compatible.
2012/01/31 18:04:50 - 23.20.30.146:    Checking disk I/O
2012/01/31 18:04:50 - 107.20.32.130:   Checking software installation completed.
2012/01/31 18:04:50 - 174.129.121.132: Checking network mask is compatible.
2012/01/31 18:04:50 - 174.129.121.132: Checking disk I/O
2012/01/31 18:04:50 - 107.22.44.176:   Checking network mask is compatible.
2012/01/31 18:04:50 - 107.22.44.176:   Checking disk I/O
2012/01/31 18:04:50 - 107.21.155.93:   Checking network mask is compatible.
2012/01/31 18:04:50 - 107.21.155.93:   Checking disk I/O
2012/01/31 18:04:50 - 23.20.30.146:    Checking software installation completed.
2012/01/31 18:04:50 - 50.16.74.80:     Checking network mask is compatible.
2012/01/31 18:04:50 - 50.16.74.80:     Checking disk I/O
2012/01/31 18:04:50 - 107.20.32.130:   Software installation finished.
2012/01/31 18:04:50 - 174.129.103.248: Checking network mask is compatible.
2012/01/31 18:04:50 - 174.129.103.248: Checking disk I/O
2012/01/31 18:04:50 - 107.21.155.93:   Checking software installation completed.
2012/01/31 18:04:50 - 50.16.169.64:    Checking network mask is compatible.
2012/01/31 18:04:50 - 50.16.169.64:    Checking disk I/O
2012/01/31 18:04:50 - 107.21.195.179:  Checking network mask is compatible.
2012/01/31 18:04:50 - 107.21.195.179:  Checking disk I/O
2012/01/31 18:04:50 - 50.16.74.80:     Checking software installation completed.
2012/01/31 18:04:50 - 174.129.121.132: Checking software installation completed.
2012/01/31 18:04:50 - 174.129.103.248: Checking software installation completed.
2012/01/31 18:04:50 - 107.22.44.176:   Checking software installation completed.
2012/01/31 18:04:50 - 107.21.195.179:  Checking software installation completed.
2012/01/31 18:04:50 - 23.20.30.146:    Software installation finished.
2012/01/31 18:04:50 - 184.73.60.110:   Checking network mask is compatible.
2012/01/31 18:04:50 - 184.73.60.110:   Checking disk I/O
2012/01/31 18:04:50 - 50.17.154.158:   Checking network mask is compatible.
2012/01/31 18:04:50 - 50.17.154.158:   Checking disk I/O
2012/01/31 18:04:50 - 23.20.30.146:    Completed check of node 23.20.30.146.
2012/01/31 18:04:50 - 174.129.109.181: Checking EC2 instance i-6fb5120a.
2012/01/31 18:04:50 - 107.20.32.130:   Completed check of node 107.20.32.130.
2012/01/31 18:04:50 - 174.129.95.77:   Checking EC2 instance i-69b5120c.
2012/01/31 18:04:50 - 50.16.169.64:    Checking software installation completed.
2012/01/31 18:04:50 - 50.16.74.80:     Software installation finished.
2012/01/31 18:04:50 - 107.21.155.93:   Waiting for software to install.
2012/01/31 18:04:50 - 50.16.74.80:     Completed check of node 50.16.74.80.
2012/01/31 18:04:50 - 107.21.67.205:   Checking EC2 instance i-6bb5120e.
2012/01/31 18:04:50 - 174.129.121.132: Waiting for software to install.
2012/01/31 18:04:50 - 174.129.103.248: Software installation finished.
2012/01/31 18:04:50 - 174.129.103.248: Completed check of node 174.129.103.248.
2012/01/31 18:04:50 - 50.19.179.220:   Checking EC2 instance i-75b51210.
2012/01/31 18:04:50 - 50.17.154.158:   Checking software installation completed.
2012/01/31 18:04:50 - 107.22.44.176:   Software installation finished.
2012/01/31 18:04:50 - 107.22.44.176:   Completed check of node 107.22.44.176.
2012/01/31 18:04:50 - 184.72.77.79:    Checking EC2 instance i-77b51212.
2012/01/31 18:04:50 - 107.22.7.117:    Checking network mask is compatible.
2012/01/31 18:04:50 - 107.22.7.117:    Checking disk I/O
2012/01/31 18:04:50 - 174.129.109.181: Checking EC2 instance is running.
2012/01/31 18:04:50 - 174.129.109.181: Connecting via SSH.
2012/01/31 18:04:50 - 174.129.95.77:   Checking EC2 instance is running.
2012/01/31 18:04:50 - 174.129.95.77:   Connecting via SSH.
2012/01/31 18:04:50 - 107.21.195.179:  Software installation finished.
2012/01/31 18:04:50 - 107.21.195.179:  Completed check of node 107.21.195.179.
2012/01/31 18:04:50 - 107.22.143.72:   Checking EC2 instance i-71b51214.
2012/01/31 18:04:50 - 50.17.154.158:   Waiting for software to install.
2012/01/31 18:04:50 - 184.73.60.110:   Checking software installation completed.
2012/01/31 18:04:51 - 107.22.7.117:    Checking software installation completed.
2012/01/31 18:04:51 - 50.16.169.64:    Software installation finished.
2012/01/31 18:04:51 - 50.16.169.64:    Completed check of node 50.16.169.64.
2012/01/31 18:04:51 - 184.73.137.98:   Checking EC2 instance i-73b51216.
2012/01/31 18:04:51 - 184.72.77.79:    Checking EC2 instance is running.
2012/01/31 18:04:51 - 184.72.77.79:    Connecting via SSH.
2012/01/31 18:04:51 - 50.16.44.124:    Checking network mask is compatible.
2012/01/31 18:04:51 - 50.16.44.124:    Checking disk I/O
