2012/01/31 22:45:41 - Connecting to AWS region us-west-2.
2012/01/31 22:45:41 - Calculating new unique cluster name for request 69.
2012/01/31 22:45:42 - Creating new cluster name, Thor-V3DN.
2012/01/31 22:45:42 - Creating Thor-V3DN security group.
2012/01/31 22:45:46 - Creating Thor-V3DN key pair.
2012/01/31 22:45:46 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/01/31 22:45:47 - Reservation ID r-46c1be76 created
2012/01/31 22:45:47 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:45:55 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:04 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:11 - Waiting for 9 of 11 nodes to launch.
2012/01/31 22:46:19 - Waiting for 2 of 11 nodes to launch.
2012/01/31 22:46:24 - Pending instances have completed.
2012/01/31 22:46:24 - Checking each node launched properly.
2012/01/31 22:46:24 - 50.112.17.43:    Checking EC2 instance i-60a0e550.
2012/01/31 22:46:24 - 50.112.19.20:    Checking EC2 instance i-62a0e552.
2012/01/31 22:46:24 - 50.112.5.95:     Checking EC2 instance i-64a0e554.
2012/01/31 22:46:24 - 50.112.46.41:    Checking EC2 instance i-66a0e556.
2012/01/31 22:46:24 - 50.112.4.145:    Checking EC2 instance i-68a0e558.
2012/01/31 22:46:24 - 50.112.48.254:   Checking EC2 instance i-6aa0e55a.
2012/01/31 22:46:24 - 50.112.22.21:    Checking EC2 instance i-6ca0e55c.
2012/01/31 22:46:24 - 50.112.26.73:    Checking EC2 instance i-6ea0e55e.
2012/01/31 22:46:24 - 50.112.50.234:   Checking EC2 instance i-50a0e560.
2012/01/31 22:46:24 - 50.112.47.150:   Checking EC2 instance i-52a0e562.
2012/01/31 22:46:24 - 50.112.26.44:    Checking EC2 instance i-54a0e564.
2012/01/31 22:46:25 - 50.112.17.43:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.17.43:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.4.145:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.26.44:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.22.21:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.46.41:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.19.20:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.48.254:   Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.26.73:    Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.26.73:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.48.254:   Connecting via SSH.
2012/01/31 22:46:25 - 50.112.50.234:   Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.50.234:   Connecting via SSH.
2012/01/31 22:46:25 - 50.112.19.20:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.22.21:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.4.145:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.47.150:   Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.47.150:   Connecting via SSH.
2012/01/31 22:46:25 - 50.112.46.41:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.5.95:     Checking EC2 instance is running.
2012/01/31 22:46:25 - 50.112.5.95:     Connecting via SSH.
2012/01/31 22:46:25 - 50.112.26.44:    Connecting via SSH.
2012/01/31 22:46:25 - 50.112.26.44:    Waiting on SSH connection.
2012/01/31 22:46:28 - 50.112.17.43:    Checking network mask is compatible.
2012/01/31 22:46:28 - 50.112.17.43:    Checking disk I/O
2012/01/31 22:46:28 - 50.112.47.150:   Checking network mask is compatible.
2012/01/31 22:46:28 - 50.112.47.150:   Checking disk I/O
2012/01/31 22:46:28 - 50.112.19.20:    Checking network mask is compatible.
2012/01/31 22:46:28 - 50.112.19.20:    Checking disk I/O
2012/01/31 22:46:28 - 50.112.17.43:    Checking software installation completed.
2012/01/31 22:46:28 - 50.112.5.95:     Checking network mask is compatible.
2012/01/31 22:46:28 - 50.112.5.95:     Checking disk I/O
2012/01/31 22:46:28 - 50.112.46.41:    Checking network mask is compatible.
2012/01/31 22:46:28 - 50.112.46.41:    Checking disk I/O
2012/01/31 22:46:29 - 50.112.50.234:   Checking network mask is compatible.
2012/01/31 22:46:29 - 50.112.50.234:   Checking disk I/O
2012/01/31 22:46:29 - 50.112.47.150:   Checking software installation completed.
2012/01/31 22:46:29 - 50.112.5.95:     Checking software installation completed.
2012/01/31 22:46:29 - 50.112.19.20:    Checking software installation completed.
2012/01/31 22:46:29 - 50.112.50.234:   Checking software installation completed.
2012/01/31 22:46:29 - 50.112.17.43:    Waiting for software to install.
2012/01/31 22:46:29 - 50.112.5.95:     Waiting for software to install.
2012/01/31 22:46:29 - 50.112.47.150:   Waiting for software to install.
2012/01/31 22:46:29 - 50.112.46.41:    Checking software installation completed.
2012/01/31 22:46:29 - 50.112.50.234:   Waiting for software to install.
2012/01/31 22:46:29 - 50.112.19.20:    Waiting for software to install.
2012/01/31 22:46:29 - 50.112.48.254:   Checking network mask is compatible.
2012/01/31 22:46:29 - 50.112.48.254:   Checking disk I/O
2012/01/31 22:46:30 - 50.112.46.41:    Waiting for software to install.
2012/01/31 22:46:30 - 50.112.26.73:    Checking network mask is compatible.
2012/01/31 22:46:30 - 50.112.26.73:    Checking disk I/O
2012/01/31 22:46:30 - 50.112.48.254:   Checking software installation completed.
2012/01/31 22:46:30 - 50.112.4.145:    Checking network mask is compatible.
2012/01/31 22:46:30 - 50.112.4.145:    Checking disk I/O
2012/01/31 22:46:30 - 50.112.26.73:    Checking software installation completed.
2012/01/31 22:46:30 - 50.112.4.145:    Checking software installation completed.
2012/01/31 22:46:30 - 50.112.48.254:   Waiting for software to install.
2012/01/31 22:46:30 - 50.112.26.73:    Waiting for software to install.
2012/01/31 22:46:30 - 50.112.22.21:    Checking network mask is compatible.
2012/01/31 22:46:30 - 50.112.22.21:    Checking disk I/O
2012/01/31 22:46:30 - 50.112.4.145:    Waiting for software to install.
