2012/02/03 18:13:51 - Connecting to AWS region us-west-2.
2012/02/03 18:13:51 - Calculating new unique cluster name for request 97.
2012/02/03 18:13:52 - Creating new cluster name, Thor-TVED.
2012/02/03 18:13:52 - Creating Thor-TVED security group.
2012/02/03 18:13:55 - Creating Thor-TVED key pair.
2012/02/03 18:13:57 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/03 18:13:58 - Reservation ID r-a4bdc494 created
2012/02/03 18:13:58 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:06 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:14 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:22 - Waiting for 10 of 11 nodes to launch.
2012/02/03 18:14:29 - Waiting for 5 of 11 nodes to launch.
2012/02/03 18:14:36 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:41 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:47 - Waiting for 1 of 11 nodes to launch.
2012/02/03 18:14:52 - Pending instances have completed.
2012/02/03 18:14:52 - Checking each node launched properly.
2012/02/03 18:14:52 - 50.112.7.177:    Checking EC2 instance i-fc6027cc.
2012/02/03 18:14:52 - 50.112.2.98:     Checking EC2 instance i-fe6027ce.
2012/02/03 18:14:52 - 50.112.29.109:   Checking EC2 instance i-e06027d0.
2012/02/03 18:14:52 - 50.112.31.12:    Checking EC2 instance i-e26027d2.
2012/02/03 18:14:52 - 50.112.52.79:    Checking EC2 instance i-e46027d4.
2012/02/03 18:14:52 - 50.112.26.101:   Checking EC2 instance i-e66027d6.
2012/02/03 18:14:52 - 50.112.39.196:   Checking EC2 instance i-e86027d8.
2012/02/03 18:14:52 - 50.112.47.33:    Checking EC2 instance i-ea6027da.
2012/02/03 18:14:52 - 50.112.36.137:   Checking EC2 instance i-ec6027dc.
2012/02/03 18:14:52 - 50.112.31.114:   Checking EC2 instance i-ee6027de.
2012/02/03 18:14:52 - 50.112.7.166:    Checking EC2 instance i-d06027e0.
2012/02/03 18:14:52 - 50.112.2.98:     Checking EC2 instance is running.
2012/02/03 18:14:52 - 50.112.2.98:     Connecting via SSH.
2012/02/03 18:14:53 - 50.112.52.79:    Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.52.79:    Connecting via SSH.
2012/02/03 18:14:53 - 50.112.7.166:    Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.7.166:    Connecting via SSH.
2012/02/03 18:14:53 - 50.112.39.196:   Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.39.196:   Connecting via SSH.
2012/02/03 18:14:53 - 50.112.31.114:   Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.29.109:   Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.29.109:   Connecting via SSH.
2012/02/03 18:14:53 - 50.112.47.33:    Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.31.114:   Connecting via SSH.
2012/02/03 18:14:53 - 50.112.47.33:    Connecting via SSH.
2012/02/03 18:14:53 - 50.112.7.177:    Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.7.177:    Connecting via SSH.
2012/02/03 18:14:53 - 50.112.31.12:    Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.31.12:    Connecting via SSH.
2012/02/03 18:14:53 - 50.112.26.101:   Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.26.101:   Connecting via SSH.
2012/02/03 18:14:53 - 50.112.36.137:   Checking EC2 instance is running.
2012/02/03 18:14:53 - 50.112.36.137:   Connecting via SSH.
2012/02/03 18:14:56 - 50.112.2.98:     Checking disk I/O
2012/02/03 18:14:56 - 50.112.36.137:   Checking disk I/O
2012/02/03 18:14:56 - 50.112.26.101:   Checking disk I/O
2012/02/03 18:14:56 - 50.112.2.98:     Checking software installation completed.
2012/02/03 18:14:56 - 50.112.36.137:   Checking software installation completed.
2012/02/03 18:14:57 - 50.112.7.177:    Checking disk I/O
