2015/05/01 15:39:40 - Connecting to AWS region us-east-1.
2015/05/01 15:39:40 - Calculating new unique cluster name for request 1085.
2015/05/01 15:39:40 - Creating new cluster name, Hpcc-ZBH7.
2015/05/01 15:39:40 - Creating Hpcc-ZBH7 security group.
2015/05/01 15:39:42 - Creating Hpcc-ZBH7 key pair.
2015/05/01 15:39:42 - Launching 20 m1.large nodes using ami-72ac861a.
2015/05/01 15:39:43 - Reservation ID r-27e505d6 created.
2015/05/01 15:39:43 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:50 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:57 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:04 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:10 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:17 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:23 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:30 - Waiting for 16 of 20 nodes to launch.
2015/05/01 15:40:37 - Waiting for 12 of 20 nodes to launch.
2015/05/01 15:40:43 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:48 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:54 - Waiting for 2 of 20 nodes to launch.
2015/05/01 15:40:59 - Pending instances have completed.
2015/05/01 15:40:59 - Checking each node launched properly.
2015/05/01 15:40:59 - 52.4.208.17:     Checking EC2 instance i-76e845a0.
2015/05/01 15:40:59 - 52.6.19.189:     Checking EC2 instance i-77e845a1.
2015/05/01 15:40:59 - 52.7.32.24:      Checking EC2 instance i-74e845a2.
2015/05/01 15:40:59 - 52.7.30.77:      Checking EC2 instance i-75e845a3.
2015/05/01 15:40:59 - 52.7.35.11:      Checking EC2 instance i-70e845a6.
2015/05/01 15:40:59 - 52.7.14.178:     Checking EC2 instance i-71e845a7.
2015/05/01 15:40:59 - 52.7.36.99:      Checking EC2 instance i-66e845b0.
2015/05/01 15:40:59 - 52.0.168.171:    Checking EC2 instance i-67e845b1.
2015/05/01 15:40:59 - 52.7.35.221:     Checking EC2 instance i-62e845b4.
2015/05/01 15:40:59 - 52.7.32.241:     Checking EC2 instance i-63e845b5.
2015/05/01 15:40:59 - 52.7.33.50:      Checking EC2 instance i-60e845b6.
2015/05/01 15:40:59 - 52.7.33.82:      Checking EC2 instance i-61e845b7.
2015/05/01 15:40:59 - 52.7.34.175:     Checking EC2 instance i-6ee845b8.
2015/05/01 15:40:59 - 52.7.32.131:     Checking EC2 instance i-6fe845b9.
2015/05/01 15:40:59 - 52.7.32.209:     Checking EC2 instance i-6ce845ba.
2015/05/01 15:40:59 - 52.7.35.214:     Checking EC2 instance i-6de845bb.
2015/05/01 15:40:59 - 52.6.63.241:     Checking EC2 instance i-6ae845bc.
2015/05/01 15:40:59 - 52.4.103.50:     Checking EC2 instance i-6be845bd.
2015/05/01 15:40:59 - 52.4.236.183:    Checking EC2 instance i-68e845be.
2015/05/01 15:40:59 - 52.7.36.31:      Checking EC2 instance i-69e845bf.
2015/05/01 15:41:00 - 52.4.208.17:     Checking EC2 instance is running.
2015/05/01 15:41:00 - 52.4.208.17:     Connecting via SSH.
